كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الرابع الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الهندسة والقياس | ممارسة النمذجة الرياضية | انشاء نموذج رياضي يمثل موقفا واقعيا | يوظف المفاهيم الهندسية في مواقف حياتية | يفسر النتائج الهندسية المتعلقة بالمحيط في سياقات حياتية واقعية | يفسر النتائج المتعلقة بمحيط المستطيل والمربع في سياقات حياتية واقعية بدقة، ويوظف القوانين الرياضية المناسبة بشكل صحيح. / ساحة مربعة طول ضلعها 6 م. / المحيط = 6 × 4 = 24 متر / تفسير واقعي: / إذا أراد تركيب إطار حول الساحة، يحتاج 24 مترًا.. | يفسر النتائج المتعلقة بمحيط المستطيل والمربع في سياقات حياتية واقعية في معظم الحالات، إلا أنه يحتاج إلى دعم في تطبيق القوانين | يحاول تفسير النتائج المتعلقة بمحيط المستطيل والمربع في سياقات حياتية واقعية، لكنه يواجه صعوبة في تطبيق القوانين | 
الهندسة والقياس | ممارسة النمذجة الرياضية |  | تمثيل العلاقات المكانية | يستخدم الوحدات المكعبة لقياس حجم المكعب ومتوازي المستطيلات (بالعد) | يستخدم الوحدات المكعبة بدقة لقياس حجم المكعب ومتوازي المستطيلات بالعدّ، ويحدد الحجم بشكل صحيح دون أخطاء | يستخدم الوحدات المكعبة لقياس حجم المكعب ومتوازي المستطيلات بالعدّ في معظم الحالات، إلا أنه قد يخطئ أحيانًا في عدّها بدقة | يواجه صعوبة في تحديد الحجم بشكل صحيح. | 
الهندسة والقياس | ممارسة النمذجة الرياضية |  | تمثيل العلاقات المكانية | يستخدم النماذج الهندسية (المكعب ومتوازي المستطيلات) لتمثيل مفهوم الحجم | يستخدم النماذج الهندسية (المكعب ومتوازي المستطيلات ) بدقة لتمثيل مفهومي الحجم في مواقف متنوعة، ويوظف كل نموذج بشكل صحيح | يستخدم النماذج الهندسية (المكعب ومتوازي المستطيلات) لتمثيل مفهوم الحجم في معظم الحالات، إلا أنه قد يخلط أحيانا بين استخدام المفهوم للنموذجين | يحاول استخدام النماذج الهندسية لتمثيل مفهومي الحجم ، لكنه يواجه صعوبة في اختيار النموذج المناسب أو التمييز بين استخدامه | 
الهندسة والقياس | ممارسة النمذجة الرياضية |  | تمثيل العلاقات المكانية | يستخدم النماذج الهندسية ( المربع والمستطيل) لتمثيل مفهوم المحيط | يوظف النماذج الهندسية (المربع والمستطيل) بكفاءة لتمثيل مفهوم المحيط وحسابه بدقة. | يستخدم النماذج الهندسية (المربع والمستطيل) لتمثيل مفهوم المحيط مع الحاجة إلى بعض التوجيه لتحسين الدقة. | يحاول استخدام النماذج الهندسية (المربع والمستطيل) لتمثيل مفهوم المحيط ويحتاج إلى دعم مستمر لفهم العلاقة بين الأضلاع والمحيط. | 
الهندسة والقياس | ممارسة الدقة الرياضية | استخدام اللغة الهندسية الدقيقة | يستخدم المفاهيم والرموز الهندسية | يستخدم المصطلحات الهندسية (محيط، مساحة، حجم، مكعب، مربع...) بصورة صحيحة | يستخدمالمصطلحاتالهندسيةبدقةفيوصفالأشكالوالخصائصويفسركلمصطلحعندالحاجة | يستخدممعظمالمصطلحاتبصوابلكنهيخلطبين(المحيط والمساحة) (مكعب ، متوازي مستطيلات). | يستخدم بعض المصطلحات الهندسية بشكل غير دقيق أو يخلط بين مصطلحات متقاربة في المعنى. | تذوّق الجمال والتناسق والنظام والترتيب في الأشكال الهندسية والتأمّل في إبداع الخالق،تقدير التراث والانتماء للوطن،حسن التواصل، المثابرة وحب التعلم، تقدير العلم والعلماء
الهندسة والقياس | ممارسة الدقة الرياضية | استخدام اللغة الهندسية الدقيقة | يستخدم المفاهيم والرموز الهندسية | يميز بين المساحة والمحيط للمربع والمستطيل | يشرحالمساحةبوصفهاقياساًللسطحالداخليوالمحيطبوصفهمجموعأطوالالأضلاعدونالتباس | يعرفكلاًمنهمابدقةلكنهيستخدمصيغةأحدهمالحسابالآخرفيبعضالمسائل | لا يميز بوضوح بين المساحة والمحيط ويستخدم أحد المفهومين مكان الآخر في المواقف. | 
الهندسة والقياس | ممارسة الدقة الرياضية | استخدام اللغة الهندسية الدقيقة | يستخدم المفاهيم والرموز الهندسية | يجد قياس الزاوية المجهولة في زاوية مستقيمة مركبة من عدة زوايا معلومة القياس. | يحدد قياس الزاوية المجهولة في زاوية مستقيمة مركبة من عدة زوايا بدقة، مبررًا خطوات الحل. | حدد قياس الزاوية المجهولة في زاوية مستقيمة في المواقف المألوفة، مع بعض الأخطاء الحسابية أو الإجرائية. | يحاول إيجاد قياس الزاوية المجهولة في زاوية مستقيمة، لكنه يحتاج إلى دعم في توظيف العلاقة بين الزوايا أو إتمام خطوات الحل. | 
الهندسة والقياس | ممارسة الدقة الرياضية | استخدام اللغة الهندسية الدقيقة | يستخدم المفاهيم والرموز الهندسية | يجد قياس زاوية مجهولة في مثلث عند معرفة قياسي الزاويتين الأخريين. | يجد قياس زاوية مجهولة في مثلث بدقة مستخدمًا حقيقة أن مجموع زوايا المثلث يساوي 180°. | يجد قياس زاوية مجهولة في مثلث في معظم المواقف، مع بعض الأخطاء الحسابية أو الحاجة إلى التحقق من خطواته. | يقدّر قياس الزاوية المجهولة أو يخمّنه دون توظيف حقيقة أن مجموع زوايا المثلث يساوي 180°. | 
الهندسة والقياس | ممارسة الدقة الرياضية | استخدام اللغة الهندسية الدقيقة | يستخدم المفاهيم والرموز الهندسية | يحدد وحدات القياس (حجم/ مساحة) المناسبة | يختارالوحدةالملائمةسم/م/م² بحسبنوعالقياس (حجم/ مساحة) والشيءالمقاسويبرراختياره | يستخدمالوحداتالصحيحةفيمعظمالحالاتلكنهيكتبسمبدلاًمنسم² للمساحةأحياناً | يختار وحدات قياس غير مناسبة أو يخلط بين وحدات الطول والمساحة. | 
الهندسة والقياس | ممارسة الدقة الرياضية | استخدام اللغة الهندسية الدقيقة | يستخدم المفاهيم والرموز الهندسية | يحول بين وحدات قياس الطول(سم، كم، م، ملم). | يحول بين وحدات قياس الطول من الأكبر للأصغر وبالعكس | يحول بين وحدات قياس الطول من الأكبر للأصغر ويطور أداءه في التحويل من الأصغر للأكبر | يتعرف بعض وحدات قياس الطول ولا يستطيع التحويل بينها. | 
الهندسة والقياس | ممارسة الدقة الرياضية | استخدام اللغة الهندسية الدقيقة | يستخدم المفاهيم والرموز الهندسية | يحول بين وحدات قياس الكتلة (غم، كغم) | يحول بين وحدات قياس الكتلة من الأكبر للأصغر وبالعكس بدقة | يحول بين وحدات قياس الكتلة من الأكبر للأصغر ويطور أداءه في التحويل من الأصغر للأكبر | يتعرف بعض وحدات قياس الكتلة ولا يستطيع التحويل بينها. | 
الهندسة والقياس | ممارسة الدقة الرياضية | استخدام اللغة الهندسية الدقيقة | يستخدم المفاهيم والرموز الهندسية | يحول بين وحدات قياس الزمن (يوم، ساعة، دقيقة، ثانية). | يحول بين وحدات قياس الزمن من الأكبر للأصغر وبالعكس | يحول بين وحدات قياس الزمن من الأكبر للأصغر ويطور أداءه في التحويل من الأصغر للأكبر | يتعرف بعض وحدات قياس الزمن ولا يستطيع التحويل بينها | 
الهندسة والقياس | ممارسة الدقة الرياضية | استخدام اللغة الهندسية الدقيقة | يستخدم المفاهيم والرموز الهندسية | التحويل بين وحدات قياس الحجم (لتر، مللتر). | يحول بين وحدات قياس الحجم من الأكبر للأصغر وبالعكس | يحول بين وحدات قياس الحجم من الأكبر للأصغر ويطور أداءه في التحويل من الأصغر للأكبر | يتعرف بعض وحدات قياس الحجم ولا يستطيع التحويل بينها. | 
الهندسة والقياس | ممارسة الدقة الرياضية | تنظيم الحل الهندسي | ينظم خطوات القياس والحل | ينظم خطوات الحل في مسائل القياس ويستخدم عمليات التحويل بين الوحدات لحلها بدقة | ينظم خطوات حل مسائل القياس مستخدما عمليات التحويل بين وحدات الطول أو الكتلة أو الزمن أو الحجم بدقة، ويطبق التحويل بشكل صحيح في جميع الحالات | ينظم خطوات حل مسائل القياس مستخدما عمليات التحويل بين وحدات الطول أو الكتلة أو الزمن أو الحجم في معظم الحالات، إلا أنه يحتاج إلى دعم في ترتيب الخطوات أحيانا | يكتب الناتج النهائي فقط دون توثيق أي خطوة لانه يواجه صعوبة في اختيار التحويل الصحيح أو تطبيقه بدقة. | التفكير المنظم،التأمّل في جمال الأشكال والعلاقات المكانية في البيئة المحيطة، الدقة والتنظيم والترتيب،المثابرة والصبر والالتزام،
الهندسة والقياس | ممارسة الدقة الرياضية | تنظيم الحل الهندسي | ينظم خطوات القياس والحل | يحدد ويكتب الناتج بوحدة قياس مناسبة بعد التحويل بين وحدات الطول أو الكتلة أو الزمن أو الحجم | يكتب الناتج بوحدة قياس صحيحة بعد التحويل بين وحدات الطول أو الكتلة أو الزمن أو الحجم بدقة، دون أخطاء | يكتب الناتج بوحدة قياس صحيحة بعد التحويل بين وحدات الطول أو الكتلة أو الزمن أو الحجم في معظم الحالات، مع بعض الأخطاء البسيط | يحذف الوحدة كلياً أو يضيفها عشوائياً دون مراعاة نوع القياس | 
الهندسة والقياس | ممارسة الدقة الرياضية | تنظيم الحل الهندسي | ينظم خطوات القياس والحل | يتحقق من معقولية النتائج بعد إجراء التحويل بين وحدات الطول أو الكتلة أو الزمن من خلال المقارنة بالتقدير أو بالواقع أو بالتحويل العكسي | يتحقق من معقولية النتائج بعد إجراء التحويل بين وحدات الطول أو الكتلة أو الزمن من خلال المقارنة بالتقدير أو بالواقع أو بالتحويل العكسي بدقة وتبرير صحيح | يتحقق من معقولية النتائج بعد إجراء التحويل بين وحدات الطول أو الكتلة أو الزمن من خلال المقارنة بالتقدير أو بالواقع أو بالتحويل العكسي في معظم الحالات، مع حاجة إلى دعم في التبرير أو اختيار الطريقة المناسبة | يقبل الناتج كما هو دون التحقق من معقوليته أو مقارنته بتقدير تقريبي. | 
[TABLE 4]
لمجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الإحصاء والاحتمال | ممارسة استخدام الأدوات بذكاء | قراءة التمثيلات البيانية | يفسر البيانات الممثلة بصرياً | يقرأ البيانات من الجداول | يقرأالقيمةعندتقاطعصفوعمودمحددينفيالجدولويفسرماتمثلهتلكالقيمة | يقرأالجدولبجانبواحد(صفأوعمودفقط))ويرتبكحينيحتاجإلىتقاطعالاثنين | يقرأالأرقاممنالجدولبشكلعشوائيدوناتباعصفأوعمودمحدد | التفكير الناقد، تقدير التراث والانتماء للوطن،الدقة والتنظيم، المسؤولية والاحترام والتعاون،الوعي البيئي والصحي، حب الاستطلاع
الإحصاء والاحتمال | ممارسة استخدام الأدوات بذكاء | قراءة التمثيلات البيانية | يفسر البيانات الممثلة بصرياً | يفسر البيانات من الأعمدة البيانية | يستخرجالقيمةالدقيقةلكلعمودويفسرالفرقبينالعمودين الأعلىوالأدنى | يقرأالعمودالأطولوالأقصربدقةلكنهيواجهصعوبةفيقراءة الاعمدةذاتالقيمالوسطى | يحدد القيم بشكل غير دقيق ويكتفي بملاحظة شكل الأعمدة دون قراءة القيم الفعلية. | 
الإحصاء والاحتمال | ممارسة استخدام الأدوات بذكاء | قراءة التمثيلات البيانية | يفسر البيانات الممثلة بصرياً | يستخرج معلومات من التمثيلات البيانية | يستخرج معلومات دقيقة من التمثيلات البيانية (مثل الجداول والأعمدة) ويحللها بشكل صحيح ويستنتج منها معلومات إضافية | يستخرج معظم المعلومات من التمثيلات البيانية بشكل صحيح، إلا أنه يحتاج إلى دعم في تفسير بعض البيانات أو قراءة التمثيل بدقة كاملة | يستخرج بعض المعلومات بشكل جزئي دون القدرة على تفسيرها. | 
الإحصاء والاحتمال | ممارسة استخدام الأدوات بذكاء | اختيار الأداة المناسبة | ينظم البيانات ويمثلها | ينظم البيانات في جداول | ينظم البيانات في جداول بشكل دقيق ومنظم، ويختار طريقة عرض مناسبة للبيانات دون أخطاء | ينظم البيانات في جداول في معظم الحالات بشكل صحيح، إلا أنه يحتاج إلى دعم في ترتيب البيانات أو تنظيمها داخل الجدول | يواجه صعوبة في ترتيب البيانات أو إدخالها بشكل صحيح داخل الجدول | التنظيم والدقة والنظام،التفكير التحليلي،اتخاذ القرار،تحمل المسؤولية، المحافظة على البيئة،المثابرة والالتزام
الإحصاء والاحتمال | ممارسة استخدام الأدوات بذكاء | اختيار الأداة المناسبة | ينظم البيانات ويمثلها | يمثل البيانات بالأعمدة البيانية | يمثل البيانات بالأعمدة البيانية بدقة، ويختار مقياسًا مناسبًا ويرسم الأعمدة بشكل صحيح ومنظم | يمثل البيانات بالأعمدة البيانية في معظم الحالات بشكل صحيح، إلا أنه يحتاج إلى دعم في ضبط دقة الرسم | يواجه صعوبة في رسم الأعمدة بدقة. | 
الإحصاء والاحتمال | النمذجة الرياضية | تفسير البيانات في سياقات حياتية | يربط البيانات بالمواقف الواقعية | يربط البيانات بمواقف من الحياة اليومية | يفسّركلقيمةفيالتمثيلالبيانيبجملةتربطهابالموقفالحياتيالذينشأتمنه | يفسربعضالقيمفيسياقهاالحياتيلكنهيتعاملمعقيمأخرىكأرقاممجردة | يصف البيانات بشكل عام دون ربطها بالسياق الحياتي أو تفسير معناها. | تقدير التراث والانتماء للوطن من خلال قراءة بيانات فلسطين وأعدادها،الدقة والتنظيم، التفكير الناقد، اتخاذ القرار، المسؤولية تجاه المجتمع، تعزيز المواطنة الصالحة،حب الاستطلاع، المثابرة
الإحصاء والاحتمال | النمذجة الرياضية |  |  | يستخدم البيانات لاتخاذ قرار بسيط | يستخدم البيانات لاتخاذ قرار بسيط بدقة، ويبرر اختياره اعتمادا على المعلومات المعطاة / مثال:إذا أظهر جدول أن نوع العصير الأكثر مبيعا هو التفاح، يختار الطالب عصير التفاح ويبرر أنه الأكثر مبيعا | يستخدم البيانات لاتخاذ قرار بسيط في معظم الحالات، إلا أنه قد يحتاج إلى دعم في تفسير بعض المعلومات قبل اتخاذ القرار / مثال:عند مقارنة عدد الطلاب المشاركين في نشاطين، يختار النشاط الأكبر مشاركة لكن يحتاج مساعدة في قراءة الجدول أولًا | يختار قراراً عشوائياً أو مفضلاً دون النظر للبيانات أصلاً | 
الإحصاء والاحتمال | النمذجة الرياضية | بناء النماذج البيانية | يمثل العلاقات باستخدام البيانات | يجمع بيانات من مواقف بسيطة | يجمع بيانات من مواقف بسيطة بدقة، ويعرضها بشكل منظم (مثل العدّ أو الجداول) دون أخطاء | جمع بيانات من مواقف بسيطة في معظم الحالات بشكل صحيح، إلا أنه يحتاج إلى دعم في تنظيم البيانات أو تسجيلها بدقة كاملة | يجمع بيانات بطريقة غير منظمة ويواجه صعوبة في العد أو تسجيل البيانات بشكل منظم وصحيح | التفكير المنظم، الدقة ، التواصل البصري،التعاون، تحمل المسؤولية، الاحترام، الانتماء للوطن،تقدير جمال التنظيم
الإحصاء والاحتمال | النمذجة الرياضية | بناء النماذج البيانية | يمثل العلاقات باستخدام البيانات | ينظم البيانات وفق فئات محددة (صور، إشارات، أعمدة) | ينظم البيانات وفق فئات محددة (صور، إشارات، أعمدة) بدقة، ويعرضها بشكل منظم وصحيح | نظم البيانات وفق فئات محددة (صور، إشارات، أعمدة) بشكل صحيح في معظم الحالات، مع وجود بعض الأخطاء البسيطة في التصنيف أو التنظيم | يوزع البيانات على الفئات بشكل غير دقيق أو يترك بعض الفئات غير مكتملة. | 
الإحصاء والاحتمال | النمذجة الرياضية | تفسير المواقف الاحتمالية | يفهم مفهوم الاحتمال | - التجربة العشوائية. | يتعرف مفهوم التجربة العشوائية ويميزها عن التجربة غير العشوائية ويفسر إجابته. | يتعرف مفهوم التجربة العشوائية ويميزها عن التجربة غير العشوائية ويطور أداءه في تفسير إجابته. | لا يستطيع أن يتعرف مفهوم التجربة العشوائية. | التروّي والتبصر، الدقة والامانة العلمية، المسؤولية في اتخاذ القرار،احترام وجهات النظر، التعاون،الوعي البيئي،حب الاستطلاع، الثقة بالنفس
الإحصاء والاحتمال | النمذجة الرياضية | تفسير المواقف الاحتمالية | يفهم مفهوم الاحتمال | يتعرف مفهوم الفرصة (تمهيد لفهم الاحتمال) | يتعرف مفهوم الفرصة ويميز فرصة حدوث العنصر عن غيره ويفسر إجابته. | يتعرف مفهوم الفرصة ويميز فرصة حدوث العنصر عن غيره ولا يستطيع تفسير إجابته. | لا يستطيع أن يتعرف مفهوم الفرصة. | 
الإحصاء والاحتمال | النمذجة الرياضية | تفسير المواقف الاحتمالية | يفهم مفهوم الاحتمال | يربط الفرصة بمواقف حياتية | يربط الفرصة بمواقف حياتية متنوعة، ويفسر فرصة وقوع الحدث باستخدام لغة رياضية مناسبة. |  |  | 
الإحصاء والاحتمال | النمذجة الرياضية | يمارس بناء النماذج الاحتمالية | تمثيل الأحداث والنتائج | يمثل جميع النواتج الممكنة لتجربة بسيطة | يدرججميعالنواتجبطريقةمنظمةدونحذفأوتكرار | يدرججميعالنواتجلتجربةبسيطةلكنهيغفلبعضهاحينتتركبالتجربةمنخطوتين | يدرج بعض النواتج الممكنة فقط، ويغفل عدداً منها أو يكررها، مما يجعل تمثيله لفضاء العينة غير مكتمل. | الدقة والأمانة العلمية ، التفكير الاستدلالي، الدقة والتنظيم، التعاون، احترام آراء الآخرين،المثابرة والصبر
الإحصاء والاحتمال | يمارس بناء الحجج ونقدها | يمارس تفسير النتائج الاحتمالية | تحليل النتائج والاستنتاجات | يقارن بين فرص أحداث مختلفة | يرتب الحوادثمنالأرجحإلىالأقلرجوحاًمبرراترتيبه | يحددالأرجحوالأقلرجوحاًبدقةلكنهلايرتبمابينهماأويبررالمقارنة | يواجه صعوبة حتى في التمييز بين الحوادث ويحتاج إلى دعم للترتيب والتبرير. | التفكير الناقد، الدقة، اتخاذ القرار، حب الاستطلاع، المسؤولية، التعاون،تعزيز المواطنة الصالحة، الوعي البيئي والصحي، ترشيد استخدام الموارد ،الصبر والمثابرة
الإحصاء والاحتمال |  |  | تحليل النتائج والاستنتاجات | يفسر سبب ترجيح حدث على آخر | يفسر سبب ترجيح حدث على آخر في سياق الاحتمالات بدقة، مبررا ذلك بالاعتماد على عدد النواتج أو المعطيات المعطاة | يفسر سبب ترجيح حدث على آخر في سياق الاحتمالات في معظم الحالات، إلا أنه يحتاج إلى دعم في تبرير الاختيار أو ربطه بالمعطيات | يحاول تفسير سبب ترجيح حدث على آخر، لكنه يفتقر إلى الفهم الصحيح لمفهوم الاحتمال ولا يقدم تبريرا منطقيا | 
الإحصاء والاحتمال | ممارسة فهم المسألة والمثابرة في حلها | تحليل الموقف الاحتمالي | يحلل المعطيات والنتائج الممكنة | يحدد المعطيات المرتبطة بالموقف الاحتمالي | يصنفالمعطيات(نواتج ممكنة، فرصة ظهور حادث) قبلالبدء فيالحل | يدونالمعطياتلكنهلايصنفهاأويميزدوركلمعطىفيبناءالحل | يذكر المعطيات دون تمييز دور كل عنصر في التجربة الاحتمالية | التفكير الناقد، حب الاستطلاع،المسؤولية،الاحترام والتعاون، الثقة بالنفس، الامانة العلمية
الإحصاء والاحتمال | ممارسة فهم المسألة والمثابرة في حلها | تحليل الموقف الاحتمالي | يحلل المعطيات والنتائج الممكنة | يربط النتائج بالسياق الواقعي | يفسركلناتجفيالسياقالحياتيويقيمماإذاكانت فرصة الحادث منطقية | يدركأنالنواتجترتبطبالسياقالحياتيلكنهلايقيممعقوليةفرصة الحادث بناءعليه | يلاحظ الارتباط بشكل محدود ويواجه صعوبة في التفسير والتقييم. | 
الإحصاء والاحتمال | ممارسة فهم المسألة والمثابرة في حلها | اختيار الاستراتيجية المناسبة للحل | يوظف استراتيجيات متنوعة لتوقع نتائج التجارب العشوائية وتحديد الأحداث الأكثر والأقل فرصة | يتوقع نتائج التجارب العشوائية ويحدد الأحداث الأكثر والأقل فرصة باستخدام استراتيجيات مناسبة | يتوقع نتائج التجارب العشوائية ويحدد الأحداث الأكثر والأقل فرصة باستخدام استراتيجيات مناسبة بدقة، ويبرر توقعاته بشكل صحيح | يتوقع نتائج التجارب العشوائية ويحدد الأحداث الأكثر والأقل فرصة باستخدام استراتيجيات مناسبة في معظم الحالات، إلا أنه يحتاج إلى دعم في تبرير بعض التوقعات | لا يزال يخلط بين النتائج أو يواجه صعوبة في تقدير فرصة حدوث الأحداث بشكل صحيح. | التفكير الناقد، اتخاذ القرار، حب الاستكشاف، التعاون واحترام آراء الآخرين، تحمل المسؤولية،الانتماء والهوية الثقافية
الإحصاء والاحتمال | ممارسة فهم المسألة والمثابرة في حلها |  |  | يتحقق من معقولية النتائج في سياق التجارب العشوائية والاحتمالات | يتحقق من معقولية النتائج في سياق التجارب العشوائية والاحتمالات بدقة، ويبرر حكمه باستخدام مفاهيم الاحتمال بشكل صحيح | يتحقق من معقولية النتائج في سياق التجارب العشوائية والاحتمالات في معظم الحالات، إلا أنه يحتاج إلى دعم في تبرير بعض الأحكام أو ربطها بمفهوم الاحتمال |  | 
