كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الرابع الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الأعداد و العمليات عليها | ممارسة البحث عن البنية الرياضية |  |  | يعمم خصائص الأعداد الزوجية والفردية | يعمم: زوجي + زوجي يساويزوجي،ويختبرالتعميمبثلاثةأمثلةمختلفةلتعزيزه | يلاحظالخاصيةفيمثالينلكنهلايصيغهاكتعميمينطبقعلىجميعالأعداد | يطبق التعميم على أمثلة مشابهة لما تعلمه فقط ويتردد في تطبيقه على سياقات جديدة. | 
الأعداد و العمليات عليها | ممارسة البحث عن البنية الرياضية |  |  | يتعرف إلى قابلية القسمة على 2،3، 5، 6 . ويستنتج العلاقة بينها | يحدد الأعداد التي تقبل القسمة على 2 ويلاحظ الباقي ذهنيا، ويكمل الرقم الناقص بحيث يقبل أو لا يقبل القسمة على 2 ،3 ،5 ، 6. | يحدد الأعداد التي نقبل القسمة على 2 ،3 ،5 ،6 ، ويطور أداؤه في ملاحظة الباقي وإكمال العدد الناقص بحيث يقبل أو لا يقبل القسمة على 2 ،3 ،5 ، 6. | يتعرف إلى بعض قواعد قابلية القسمة، لكنه لا يزال يواجه صعوبة في استنتاج علاقة بينها | 
الأعداد و العمليات عليها | ممارسة البحث عن البنية الرياضية | تنظيم البنية العددية | يفهم خصائص العمليات | يكتشف الأنماط المرتبطة بجداول الضرب | يصفنمطاًفيجدولالضربويعممهعلى مثالآخرمشابهفيهيكله. | يلاحظنمطاًفيصفأوعمودواحدلكنهلا يتمكن من تعميمهعلىالجدولكله | يحفظ جدول الضرب آلياً دون الانتباه لأي تكرار أو نمط داخله. | 
الأعداد و العمليات عليها | ممارسة البحث عن البنية الرياضية | تنظيم البنية العددية | يفهم خصائص العمليات | يطبق خاصية التبديل في الضرب. | يثبت أن 7×8=8×7 بطريقتين ويشرح لماذا لا تنطبق خاصية التبديل على القسمة | يطبق التبديل في الضرب دون تبرير محاولا تطبيقها على القسمة أيضاً | يحفظ حقائق الجدول في اتجاه واحد فقط دون أن يدرك خاصية التبديل أن 6×9 = 9×6 | 
الأعداد و العمليات عليها | ممارسة البحث عن البنية الرياضية | تنظيم البنية العددية | يفهم خصائص العمليات | يطبق خاصية التجميع في الضرب. | يعيد تجميع ثلاثة عوامل بالطريقة الأيسر حسابياً ويبرر اختياره بتبسيط العمليات الحسابية. | يطبق التجميع بصواب في مثال واحد لكنه لا يعرف أي تجميع يختار لتسهيل الحساب | يضرب العوامل دون إدراك خاصية التجميع وإمكانية إعادة ترتيبها لتسهيل الحساب | التنظيم والدقة ، حب الاستكشاف،المثابرة، الثقة بالنفس، تحمل المسؤولية،التفكير التحليلي،تقدير قيمة العلم والعلماء
الأعداد و العمليات عليها | ممارسة البحث عن البنية الرياضية | تنظيم البنية العددية | يفهم خصائص العمليات | يستخدم الخصائص العددية لتبسيط الحل | يوظف الخصائص العددية بمرونة وكفاءة (مضاعفزوجي للعدد 3 ويقبل القسمة على 2) لتبسيط الحل والوصول إلى الناتج الصحيح. | يستخدم بعض الخصائص العددية لتبسيط الحل في مواقف مألوفة، لكنه يحتاج إلى دعم في اختيار الخاصية الأنسب أو تطبيقها بدقة. | يحتاج إلى دعم لاستخدام الخصائص العددية في تبسيط الحل. | 
الأعداد و العمليات عليها |  |  | يجري العمليات الحسابية (الضرب والقسمة ) | يضرب أو يقسم عدد من منزلتين بعدد من منزلة واحدة. | يجد ناتج ضرب أو قسمة عدد من منزلتين بعدد من منزلة بعدة طرق وبطلاقة. | يجد ناتج ضرب عدد من منزلتين بعدد من منزلة واحدة عموديا وبالتوزيع، ويطور من أدائه في الطريقة المختصرة والقسمة. | يحفظ بعض حقائق الضرب أو القسمة ولا يستطيع إيجاد ناتج ضرب أو قسمة عدد من منزلتين في عدد من منزلة واحدة. | 
الأعداد و العمليات عليها |  |  |  | يضرب أو يقسم عدد من ثلاث منازل في عدد من منزلتين. | يجد ناتج ضرب أو قسمة عدد من ثلاث منازل بعدد/على عدد من منزلتين بعدة طرق بطلاقة. | يجد ناتج ضرب أو قسمة عدد من ثلاث منازل بعدد / على عدد من منزلتين (عموديا في الطريقة المختصرة)، ويطور من أدائه بالتوزيع للضرب | يحفظ بعض حقائق الضرب أو القسمة ولا يستطيع إيجاد ناتج ضرب أو قسمة عدد من ثلاث منازل في عدد من منزلتين واحدة. | 
الأعداد و العمليات عليها | ممارسة التعميم من التكرار | بناء الأنماط العددية | تعميم العلاقات العددية | يكمل أنماطاً مرتبطة بالمضاعفات | يكمل نمطاً يجمع بين مضاعفين مختلفين (مثل مضاعفات 3 و5 معاً) في تتابع واحد | يكمل نمط المضاعفات البسيطة بصواب لكنه يرتبك حين يتضمن النمط أكثر من مضاعف | يكتفي بإضافة قيمة ثابتة للحد السابق دون ربط ذلك بمفهوم المضاعفة | 
الأعداد و العمليات عليها | ممارسة التعميم من التكرار | بناء الأنماط العددية | تعميم العلاقات العددية | يصف قاعدة النمط العددي | يصيغ القاعدة بجملة رياضية دقيقة تحدد العملية والمقدار والعلاقة بالحد السابق | يصف القاعدة وصفاً لفظياً صحيحاً لكنه لا يعبر عنها بصيغة رياضية قابلة للتطبيق | يذكر الحد التالي في النمط فقط دون صياغة أي قاعدة عامة | حب الاستطلاع والتفكير الاستدلالي ،التأمل، الاقتصاد والادخار، الدقة والتنظيم، المثابرة، التعاون
الأعداد و العمليات عليها | ممارسة التعميم من التكرار | بناء الأنماط العددية | تعميم العلاقات العددية | يطبق قاعدة النمط على أعداد جديدة | يحسب الحد العاشر أو الخامس عشر في نمط المضاعفات مباشرةً بتطبيق قاعدة النمط دون عد متسلسل | يصل إلى الحد المطلوب بالتعداد المتسلسل من الحد الأول بدلاً من تطبيق قاعدة النمط مباشرة | يكمل الحد التالي مباشرة فقط ويتوقف إذا طُلب منه حساب حد بعيد | 
الأعداد و العمليات عليها | ممارسة فهم المسألة والمثابرة في حلها | تحليل المسألة الرياضية | يحلل المسائل المرتبطة بالأعداد والعمليات عليها (بالجمع والطرح و بالضرب والقسمة) | يحدد المعطيات العددية | ينظم المعطيات العددية في جدول أو مخطط بهدفتحليلها قبل البدء في أي عملية حسابية | يدون المعطيات العددية (سواء تضمنت معلومات زائدة ام لا) لكنه يبدأ بالحل قبل استكمال التحليل | يبحث عن الأرقام في المسألة مباشرة ويجري عليها عملية حسابية دون قراءة المسألة كاملة | 
الأعداد و العمليات عليها | ممارسة فهم المسألة والمثابرة في حلها | تحليل المسألة الرياضية | يحلل المسائل المرتبطة بالأعداد والعمليات عليها (بالجمع والطرح و بالضرب والقسمة) | يحدد العملية الحسابية المناسبة (الجمع، أو الطرح، أو الضرب، أو القسمة) اللازمة لحل المسألة | يختار الإجراء أو العمليةالصحيحةبناءًعلى المعطيات وفهمه للمسألة | يحدد العملية الحسابية المناسبة لحل معظم المسائل، إلا أنه يخطئ أحيانا في المسائل التي تتضمن معطيات متعددة | يحاول تحديد العملية الحسابية المناسبة لحل المسألة، لكنه يواجه صعوبة في ربط المعطيات بالمطلوب واختيار العملية الملائمة بصورة صحيحة. | حب العلم والقراءة وتقدير جهود العلماء المسلمين والعرب ،التفكير الناقد،الدقة والتنظيم، اتخاذ القرار، تحمل المسؤولية، حب التحدي الشريف،تعزيز المواطنة الصالحة، الانتماء للوطن
