كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الأول الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | يحاول | القيم
الجمع ضمن العدد 99 | ممارسة فهم المسألة والمثابرة في حلها | اختيار استراتيجيات الحل | يستخدم الرسوم والنماذج | يستخدم الرسوم والنماذج لتمثيل مسألة كلامية. | يستخدم الرسم لنماذج توضيحية أو مخططات بسيطة لتمثيل المسألة وحلها بشكل دقيق. موضحا العلاقة بين طرق الحل المختلفة لتعميق الفهم الرياضي لحل المسألة اللفظية. | يستخدم الرسم في المسائل البسيطة، ولكنه يحتاج لتوجيه في التعامل مع المعطيات الزائدة أو تمثيل المعطيات التي يزيد عددها عن عددين. | يستخدم رسومات بسيطة في التعبير عن عملية جمع بسيطة ضمن العدد 9 فقط ويحتاج لمتابعة في التعبير عن المسألة بالرسم . | يستخدم رسومات بسيطة في التعبير عن عملية جمع بسيطة ضمن العدد 9 فقط ويحتاج لمتابعة في التعبير عن المسألة بالرسم . | 
الجمع ضمن العدد 99 | ممارسة فهم المسألة والمثابرة في حلها | مراجعة الحل والتحقق منه | يراجع ويتحقق من خطوات الحل | يراجع خطوات حل المسألة الكلامية. | يراجع الطالب جميع الخطوات الرياضية التي اتبعها بالتسلسل لضمان خلوها من الأخطاء وبشكل مستقل. | يراجع خطواته بشكل سطحي وسريع، ولا يعيد النظر في خطوات الحل. | يحاول مراجعة خطواته أو تتبعها لمعرفة أين أخطأ، ويجد صعوبة في تصحيح مساره دون توجيه من المعلم. | يحاول مراجعة خطواته أو تتبعها لمعرفة أين أخطأ، ويجد صعوبة في تصحيح مساره دون توجيه من المعلم. | حب الوطن والاعتناء بنظافته ومرافقه العامة، احترام الآخرين والصدق في التعامل،الأمانة العلمية،تحمل المسؤولية، التفكير النقدي، الصبر والمثابرة، تقدير الذات، الانضباط والنزاهة في العمل
الجمع ضمن العدد 99 | ممارسة فهم المسألة والمثابرة في حلها | مراجعة الحل والتحقق منه | يفسر الناتج في ضوء المسألة والتأكد من ان الناتج منطقياً | يفسر النتائج العددية ضمن سياق المسألة الكلامية. | يفسّر الناتج العددي النهائي بسياق المسألة، معبراً عنه بتمييز صحيح (مثل: 5 تفاحات، 12 ديناراً). متحققا من معقولية الناتج. | يفسّر الناتج كعدّد مجرد، ويحتاج لتوجيه ليربطه بسياق المسألة أو لا يكتب تمييزاً له. | يكتب ناتجاً نهائياً (وقد يكون الناتج خاطئا) دون تفسير لما يمثله هذا الناتج في الواقع أو ضوء المسألة المطروحة. | يكتب ناتجاً نهائياً (وقد يكون الناتج خاطئا) دون تفسير لما يمثله هذا الناتج في الواقع أو ضوء المسألة المطروحة. | 
الطرح ضمن 99 | ممارسة التفكير الكمي والتجريدي | بناء معنى الطرح | يمثل الطرح بوصفه إزالة | يمثل الطرح بوصفه إزالة. | يربط مفهوم الطرح بـ "ازالة وحذف" عناصر من مجموعة، معبرا عن ناتج الازالة بجملة طرح صحيحة بمفرده وبدقة. | يربط مفهوم الطرح بـ "إزالة وحذف" عناصر من مجموعة، معبرا عن ناتج الازالة بجملة طرح ويقع بأخطاء مثل قلب المطروح والمطروح منه | يواجه صعوبة في استيعاب مفهوم الطرح كحذف، ويحتاج لدعم حسي في ذلك. | يواجه صعوبة في استيعاب مفهوم الطرح كحذف، ويحتاج لدعم حسي في ذلك. | التبصر والدقة، التعاون والعمل الجماعي، احترام رأي الآخرين، حب الاستكشاف، التفكير المنطقي،
الطرح ضمن 99 | ممارسة التفكير الكمي والتجريدي | بناء معنى الطرح | يربط الطرح بمواقف حياتية مناسبة | يربط الطرح بمواقف حياتية يومية. | يربط مفهوم الطرح بمواقف ومشكلات من حياته اليومية، معبراً عنها بجملة طرح بمفرده ومفسراً لحله بدقة. | يربط عملية الطرح بمواقف ومشكلات من حياته اليومية ويحتاج لإرشادات ومساعدة في التعبير عنها بجملة طرح صحيحة. | يواجه صعوبة في ربط الطرح بموقف حياتي، ولا يميز أن الموقف البسيط يتطلب عملية جمع أو طرح | يواجه صعوبة في ربط الطرح بموقف حياتي، ولا يميز أن الموقف البسيط يتطلب عملية جمع أو طرح | 
الطرح ضمن 99 | ممارسة التفكير الكمي والتجريدي | تمثيل العمليات العددية | يمثل الطرح ضمن 18 بالمحسوسات | يمثل الطرح ضمن 18 بالمحسوسات( الاجسام الحسابية، العيدان، المعداد..). | يُمثّل عملية الطرح ضمن العدد 18 باستخدام المواد المحسوسة (كالأجسام الحسابية، والأصابع، أو العيدان والحزم، المعداد) لإيجاد ناتج الطرح بدقة وتفسيره بمفرده. | يُمثّل الطرح بالمحسوسات بشكل صحيح بالعناصر المحسوسة دون تركيب العشرات، و يخطئ في تنظيم قطع الآحاد وحزم العشرات لتوضيح ناتج عملية الطرح ضمن 18. | يمثل عملية الطرح على الأصابع أو المحسوسات ضمن العدد 9 فقط ويواجه صعوبة في استخدام الأدوات المحسوسة لتمثيل مسألة الطرح ضمن 18. | يمثل عملية الطرح على الأصابع أو المحسوسات ضمن العدد 9 فقط ويواجه صعوبة في استخدام الأدوات المحسوسة لتمثيل مسألة الطرح ضمن 18. | الدقة والتناسق ،الترتيب والتنظيم، احترام النظام، الصبر والمثابرة،تحمل المسؤولية، التواصل الفعال، الانتماء للمجتمع
الطرح ضمن 99 | ممارسة التفكير الكمي والتجريدي | تمثيل العمليات العددية | يمثل الطرح ضمن 99 دون استلاف بالمحسوسات | يمثل الطرح ضمن 99 دون استلاف بالمحسوسات(الاجسام الحسابية، العيدان، المعداد..). | يُمثّل عملية الطرح ضمن العدد 99 باستخدام المواد المحسوسة (كالأجسام الحسابية، والأصابع، أو العيدان والحزم، المعداد) لإيجاد ناتج الطرح بدقة وتفسيره بمفرده. | يُمثّل الطرح بالمحسوسات بشكل صحيح بالعناصر المحسوسة دون تركيب العشرات، و يخطئ في تنظيم قطع الآحاد وحزم العشرات لتوضيح ناتج عملية الطرح ضمن 99. | يمثل عملية الطرح على الأصابع أو المحسوسات ضمن العدد 9 فقط ويواجه صعوبة في استخدام الأدوات المحسوسة لتمثيل مسألة الطرح ضمن 99. | يمثل عملية الطرح على الأصابع أو المحسوسات ضمن العدد 9 فقط ويواجه صعوبة في استخدام الأدوات المحسوسة لتمثيل مسألة الطرح ضمن 99. | 
الطرح ضمن 99 | ممارسة التفكير الكمي والتجريدي | تمثيل العمليات العددية | يمثل الطرح بخط الأعداد | يمثل الطرح ضمن 18 بخط الأعداد | يُمثّل عملية الطرح على خط الأعداد بشكل صحيح، بالبدء من العدد الأكبر والقفز تنازلياً جهة اليسار بدقة موضحاً العلاقة بين ناتج الطرح والعدد الذي يصل اليه. | يمثل عملية الطرح مستخدماً خط الأعداد، ولكنه يخطئ أحياناً في اتجاه القفز (يقفز لليمين كما في الجمع) بعد تمثيل العدد الأكبر أو يخطئ في عد القفزات. | يجد صعوبة في تمثيل الطرح على خط الأعداد، ولا يعرف من أين يبدأ أو كيف يتحرك عليه دون مساعدة. | يجد صعوبة في تمثيل الطرح على خط الأعداد، ولا يعرف من أين يبدأ أو كيف يتحرك عليه دون مساعدة. | 
الطرح ضمن 99 | ممارسة التفكير الكمي والتجريدي | تمثيل العمليات العددية | يكتب جمل الطرح العددية | يكتب جمل الطرح العددية ضمن 99 من عائلة طرح معطاة. | يكتب جمل الطرح العددية من عائلة طرح معطاة بشكل صحيح، ومرتب، واضعاً الأعداد والإشارات (-، =) في مكانها الصحيح بشكل عمودي أو أفقي مع التحويل بين الصورتين الأفقية والعمودية بسلاسة. | يكتب جمل الطرح العددية من عائلة طرح معطاة، ولكنه قد لا يرتب الأعداد بالجملة الرياضية خاصة عند الانتقال من الطرح الأفقي إلى العمودي. | يواجه صعوبة في صياغة أو كتابة جملة الطرح، ويحتاج إلى نموذج توضيحي محلول للمساعدة في الحل. | يواجه صعوبة في صياغة أو كتابة جملة الطرح، ويحتاج إلى نموذج توضيحي محلول للمساعدة في الحل. | 
الطرح ضمن 99 | ممارسة التفكير الكمي والتجريدي | تمثيل العمليات العددية | يربط بين الطرح والجمع | يربط بين عمليتي الجمع والطرح بتحويل جملة جمع الى جمل الطرح المرافقة. | يربط بين عملية الجمع والطرح في تحويل جملة الجمع الى جملتي طرح وبالعكس بشكل سريع وبطلاقة ومفسراً لحله. | يربط بين الجمع والطرح، في تحويل جملة الجمع الى جملة طرح واحدة فقط وبالعكس مع محاولة تفسير حله. | يحتاج لمتابعة للربط بين الجمع والطرح، ويمكنه توظيف الأصابع لإجراء عمليات الطرح أو الجمع ضمن 9 فقط ، دون التمكن من الربط بين الطرح والجمع. | يحتاج لمتابعة للربط بين الجمع والطرح، ويمكنه توظيف الأصابع لإجراء عمليات الطرح أو الجمع ضمن 9 فقط ، دون التمكن من الربط بين الطرح والجمع. | 
الطرح ضمن 99 | ممارسة التفكير الكمي والتجريدي | تفسير العلاقات بين العمليات | يستخدم الطرح في تفسير الفرق | يستخدم الطرح في تفسير الفرق بين كميتين أو عددين. | يستخدم عملية الطرح بشكل مستقل لشرح وتفسير الفرق بين كميتين أو عددين، معبراً عن الناتج بدلالة المقارنة (مثل: أحمد معه 3 أقلام زيادة عن محمد) بوعي تام وبمفرده. | يستخدم عملية الطرح في تفسير الفرق بين كميتين، ولكنه يجد صعوبة أو يحتاج إلى توجيه من المعلم ليفسر المعنى المجرد هذا الفارق اللفظي. | يحتاج الى نموذج ليحاكيه في استخدام الطرح لتفسير أو معرفة الفرق بين العددين، ويخلط بين إيجاد المجموع وإيجاد الفارق. | يحتاج الى نموذج ليحاكيه في استخدام الطرح لتفسير أو معرفة الفرق بين العددين، ويخلط بين إيجاد المجموع وإيجاد الفارق. | حب الاستطلاع والتفكير الاستدلالي في اكتشاف العلاقات،الدقة والتنظيم والالتزام بالتسلسل،تحمل المسؤولية، التواصل الفعال، الانضباط في العمل،التفكير المنطقي
الطرح ضمن 99 | ممارسة التفكير الكمي والتجريدي | تفسير العلاقات بين العمليات | يوظف الطرح في العلاقات العددية | يوظف الطرح في العلاقات العددية بين الأعداد واكتشافها. | يوظف عملية الطرح بمهارة لتفسير واكتشاف العلاقات الرياضية بين الأعداد. مثل: إدراك أن طرح عدد ما يؤدي لنقصان الناتج، أو ربط الطرح بالأنماط المتناقصة) أو ملاحظة أن ناتج الطرح أصغر من العددين ضمن الأعداد الطبيعية 1، 2، ... | يستطيع ملاحظة العلاقة العددية، ولكنه يحتاج لمساعدة أو أسئلة توجيهية لصياغتها وتفسيرها رياضياً. | يجد صعوبة في اكتشاف أو تفسير العلاقة العددية من خلال الطرح، ويحتاج لشرح وطرح نموذج محلول على ذلك. | يجد صعوبة في اكتشاف أو تفسير العلاقة العددية من خلال الطرح، ويحتاج لشرح وطرح نموذج محلول على ذلك. | 
الطرح ضمن 99 | ممارسة التفكير الكمي والتجريدي | تفسير العلاقات بين العمليات | يكتب الحل بصورة منظمة | يكتب خطوات الحل في جمل الطرح الأفقة أو العمودية. | يكتب خطوات الحل والمسائل الحسابية (سواء الأفقية أو العمودية) بخط واضح، مرتبا المنازل بدقة وبمفرده. | يكتب الحل بشكل صحيح، ولكنه يفتقد للتنظيم البصري أحياناً (مثل تداخل الأرقام بين منزلتي الآحاد والعشرات). | يكتب أعداد المسألة عشوائياً وبشكل مبعثر ويصعب قراءته أو تتبع خطواته. | يكتب أعداد المسألة عشوائياً وبشكل مبعثر ويصعب قراءته أو تتبع خطواته. | 
الطرح ضمن 99 | التعميم من التكرار | تفسير ناتج الطرح | يجد ناتج طرح عددين ضمن 18 | يجد ناتج طرح عددين ضمن 18 حيث منازل المطروح أصغر من منازل المطروح منه | يجد ناتج الطرح (ضمن 18) ويُفسّره بطرح الآحاد من الآحاد مباشرة دون أخطاء وبمفرده. | يجد ناتج الطرح (ضمن 18) ويُفسّره بالاستعانة بالرسوم التوضيحية أو الشطب (شبه المحسوس) مع وجود أخطاء بسيطة يتم تصحيحها بنفسه. | يجد ناتج الطرح بتمثيل عملية الطرح (ضمن 18) بالوسائل المادية والمحسوسة (كالمكعبات أو لوحة المنازل) وبدعم وتوجيه مستمر من المعلم. | يجد ناتج الطرح بتمثيل عملية الطرح (ضمن 18) بالوسائل المادية والمحسوسة (كالمكعبات أو لوحة المنازل) وبدعم وتوجيه مستمر من المعلم. | التفكير المنطقي والدقة والموضوعية والترتيب وإصدار الأحكام الصحيحة، الاقتصاد في الانفاق
الطرح ضمن 99 | التعميم من التكرار | تفسير ناتج الطرح | يجد ناتج طرح عددين ضمن 18 | يجد ناتج الطرح ضمن 18 عندما يكون آحاد المطروح منه أصغر من آحاد المطروح | يجد ناتج الطرح بطرح آحاد المطروح من عشرات المطروح منه مباشرة وبدقة دون أخطاء. | يجد ناتج الطرح بكتابة الصورة الموسعة للمطروح منه (آحاد وعشرات) وكتابة الخطوات جزئيّاً مع حاجته للتوجيه. | يجد ناتج عملية الطرح بالاستعانة بالوسائل المادية (كحزم العشرات والمكعبات المفردة) ليفك حزمة العشرات ويطرح منها بمساعدة المعلم. | يجد ناتج عملية الطرح بالاستعانة بالوسائل المادية (كحزم العشرات والمكعبات المفردة) ليفك حزمة العشرات ويطرح منها بمساعدة المعلم. | 
الطرح ضمن 99 | التعميم من التكرار | تفسير الطرح ضمن 99 | يجد ناتج طرح عددين ضمن 99 دون استلاف | يجد ناتج طرح عددين ضمن 99 دون استلاف. | يجد ناتج طرح عددين ضمن 99 (عمودياً أو أفقياً) بطرح الآحاد ثم العشرات بشكل مستقل وصحيح تماماً. | يجد ناتج الطرح ضمن 99 بالاستعانة بلوحة المنازل أو بتحديد خط تحت الآحاد وخطين تحت العشرات، مع وجود أخطاء بسيطة في النقل. | يجد ناتج طرح عددين ضمن 99 باستخدام مكعبات دينز (أعمدة العشرات ومكعبات الآحاد) أو المعداد لتمثيل عملية الطرح وضبط المنازل بمساعدة وتوجيه من المعلم. | يجد ناتج طرح عددين ضمن 99 باستخدام مكعبات دينز (أعمدة العشرات ومكعبات الآحاد) أو المعداد لتمثيل عملية الطرح وضبط المنازل بمساعدة وتوجيه من المعلم. | الدقة والترتيب، المرونة في التفكير، الصبر والمثابرة، الأمانة في النتائج،
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | توظيف الأدوات | يبني الأشكال بالمحسوسات | يبني القطعة المستقيمة والخط المنحني والمربع والمستطيل والمثلث والدائرة بالمحسوسات. | يبني القطعة المستقيمة والخط المنحني والمربع والمستطيل والمثلث والدائرة بالمحسوسات مثل المعجون أو الخيوط والأعواد بشكل دقيق وبحيث تكون الأشكال الهندسية مغلقة ويذكر اسماءها الرياضية الصحيحة. | يبني الخطوط المستقيمة والمنحنية والأشكال الهندسية بالمحسوسات، ويحتاج إلى توجيه ليعدّل الخطوط لتكون مستقيمة للحصول على شكل مغلق في الأشكال الهندسية(المربع المستطيل الدائرة). | يحاول تشكيل القطعة المستقيمة والخط المنحني من المحسوسات. / ولكنه يجد صعوبة في ربطها معاً لتكوين شكل مستوٍ مغلق (كالمربع أو المثلث ـو المستطيل). | يحاول تشكيل القطعة المستقيمة والخط المنحني من المحسوسات. / ولكنه يجد صعوبة في ربطها معاً لتكوين شكل مستوٍ مغلق (كالمربع أو المثلث ـو المستطيل). | حب العمل والمعرفة،النظام والترتيب والتناسق،التأمل في جمال الأشكال، تقدير ابداع الخالق، تقدير الوقت،الانضباط في المواعيد
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | توظيف الأدوات | يستخدم أدوات الرسم لرسم أشكال هندسية | يستخدم أدوات الرسم لرسم (قطعة مستقيمة أو منحنى) | يستخدم أداة الرسم المناسبة لرسم قطع مستقيمة أو منحنية على شبكة مربعات بشكل دقيق وبمفرده. | يستخدم أداة الرسم المناسبة لرسم قطع مستقيمة أو منحنية على شبكة مربعات مع تعرجات بسيطة لا تؤثر على الرسم. | يستخدم أداة للرسم مع وجود تعرجات ويحتاج للمساعدة في تحسين رسمه. | يستخدم أداة للرسم مع وجود تعرجات ويحتاج للمساعدة في تحسين رسمه. | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | توظيف الأدوات | يستخدم أدوات الرسم لرسم أشكال هندسية | يستخدم أدوات الرسم لرسم أشكال هندسية (مربع ومستطيل ومثلث) | يستخدم أداة الرسم المناسبة لرسم خطوط الشكل الهندسي المطلوب (مثلث، مربع، مستطيل) على شبكة مربعات بشكل مستقيم وواضح دون تعرج. | يستخدم أداة الرسم المناسبة لرسم خطوط الشكل الهندسي المطلوب (مثلث، مربع، مستطيل) على شبكة مربعاتمع تعرجات بسيطة لا تؤثر على الرسم. | يستخدم أداة للرسم مع وجود تعرجات واضحة ويحتاج للمساعدة في تحسين رسمه. | يستخدم أداة للرسم مع وجود تعرجات واضحة ويحتاج للمساعدة في تحسين رسمه. | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | توظيف الأدوات | يستخدم أدوات الرسم لرسم أشكال هندسية | يستخدم أدوات الرسم لرسم شكل تقريبي للدائرة | يستخدم أداة الرسم المناسبة لمحاكاة رسم شكل تقريبي للدائرة وبمفرده. | يستخدم أداة الرسم المناسبة لمحاكاة رسم شكل تقريبي للدائرة مع وجود تعرجات بسيطة لا تؤثر على الرسم. | يختار أداة للرسم مع وجود تعرجات ويحتاج للمساعدة في تحسين رسمه. | يختار أداة للرسم مع وجود تعرجات ويحتاج للمساعدة في تحسين رسمه. | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | توظيف الأدوات | يقيس الزمن | يقرأ الساعة لقياس الوقت (الساعات الكاملة) | يتعرف الساعة كوحدة قياس للزمن متمكنا من ضبط موقع العقارب بشكل صحيح موظفا ذلك في قراءة الساعات الكاملة فقط (الساعة الواحدة، الثانية، الثالثة،...) مع ربط الزمن بممارساته اليومية. | يتعرف الى الساعة كوحدة قياس للزمن.  / ويحتاج إلى وقت أطول ولتوجيه بسيط للتمييز بين عقارب الساعة وقراءة الزمن بالشكل الصحيح. | يحتاج إلى دعم مستمر ومساعدة مباشرة للتعرف على الوقت. / ويواجه صعوبة في تمييز الساعة الكاملة وقد يجد صعوبة في التفريق بين عقرب الساعات والدقائق | يحتاج إلى دعم مستمر ومساعدة مباشرة للتعرف على الوقت. / ويواجه صعوبة في تمييز الساعة الكاملة وقد يجد صعوبة في التفريق بين عقرب الساعات والدقائق | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | تحليل الخصائص الهندسية للأشكال المستوية | يتعرف الى خصائص الأشكال الهندسية | التعرف إلى القطعة المستقيمة والخط المنحني والأشكال المستوية (مربع، مستطيل، مثلث، دائرة) | يتعرف الى القطعة المستقيمة والخط المنحني والأشكال المستوية (مربع، مستطيل، مثلث، دائرة) بشكل وصحيح وبطلاقة موظفاً التسمية الصحيحة لها. | يتعرف الى القطعة المستقيمة والخط المنحني والأشكال المستوية (مربع، مستطيل، مثلث، دائرة) ولكنه قد يخلط أحياناً بين المربع والمستطيل إذا كانت أبعادهما متقاربة. | يشير الى الأشكال المستوية بشكل عشوائي، ويميز الدائرة والمثلث عن المربع والمستطيل ولا يميز المربع عن المستطيل. | يشير الى الأشكال المستوية بشكل عشوائي، ويميز الدائرة والمثلث عن المربع والمستطيل ولا يميز المربع عن المستطيل. | المثابرة والتعاون واحترام العمل،الترتيب والتنظيم، تذوق الجمال والتناسق البيئي، تقدير عظمة الخالق، حب الاستطلاع، ترشيد استخدام الموارد والأدوات
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | تحليل الخصائص الهندسية للأشكال المستوية | يصف خصائص الأشكال المستوية | يصف خصائص الأشكال الهندسية المستوية ( المربع، المستطيل، المثلث، الدائرة). | يصف المربع والمستطيل والمثلث والدائرة مقارنا بينهم من حيث الخصائص بدقة، مع القدرة على التمييز بين الأشكال التي تتكون من خط منحنِ وقطع مستقيمة. | يصف المربع والمستطيل والمثلث والدائرة، مع القدرة على التمييز بين الأشكال التي تتكون من خط منحن وقطع مستقيمة. ولكنه يحتاج لتذكيره بالمصطلحات الدقيقة مثل قطعة مستقيمة شكل مغلق، ضلع،.... | يردد أسماء الأشكال دون القدرة على وصف خواصها، وقد يرى أن المربع والمستطيل هما نفس الشكل. | يردد أسماء الأشكال دون القدرة على وصف خواصها، وقد يرى أن المربع والمستطيل هما نفس الشكل. | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | تحليل الخصائص الهندسية للأشكال المستوية | يصنف الأشكال المستوية وفق خصائصها | يفرز الأشكال الهندسية المستوية ( المربع، المستطيل، المثلث، الدائرة) بناء على خواصها. | يفرز مجموعة مختلطة من الأشكال المستوية إلى مجموعات بناءً على خواصها، مثل (نوع الخطوط، عدد القطع المكونة لها، مفسرا أسس تصنيفه بدقة. | يفرز مجموعة مختلطة من الأشكال المستوية إلى مجموعات بناءً على خواصها، ولكنه قد يجد صعوبة في التعبير أو تفسير التصنيف أو شرح الخصائص الهندسية التي جعله يبني تصنيفه. | قد يتمكن من تصنيف الأشكال حسب الخطوط المكونة لها منحنية او مستقيمة لكنه يجد صعوبة في تصنيفها بناءً على خصائص أخرى. | قد يتمكن من تصنيف الأشكال حسب الخطوط المكونة لها منحنية او مستقيمة لكنه يجد صعوبة في تصنيفها بناءً على خصائص أخرى. | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | تحليل الخصائص الهندسية للأشكال المستوية | يتعرف الى المجسمات | يتعرف إلى المجسمات(مكعبن متوازي مستطيلاتن كرة) | يتعرف الى المكعب ومتوازي المستطيلات والكرة بشكل صحيح وبطلاقة موظفاً التسمية الصحيحة لها. | يتعرف الى المكعب ومتوازي المستطيلات والكرة، ولكنه قد يخلط أحياناً بين المربع والمكعب أو الكرة والدائرة. | يشير الى المجسمات بشكل عشوائي، ويميز الكرة ولكنه يحتاج الى توجيه لتمييز المكعب عن متوازي المستطيلات فيطلق تسمية المكعب على متوازي المستطيلات | يشير الى المجسمات بشكل عشوائي، ويميز الكرة ولكنه يحتاج الى توجيه لتمييز المكعب عن متوازي المستطيلات فيطلق تسمية المكعب على متوازي المستطيلات | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | ربط الهندسة بالسياقات الواقعية | يربط بين الشكل أو المجسم والبيئة | يستعرض وذكر أمثلة على الأشكال المستوية والمجسمات من البيئة المحيطة. | يستعرض أشكال مستوية (مربع، مستطيل، مثلث، دائرة) ومجسمات (المكعب ومتوازي المستطيلات والكرة) من البيئة متمكنا من تسميتها ووصفها بالشكل الصحيح. | يستعرض أشكال مستوية (مربع، مستطيل، مثلث، دائرة) ومجسمات (المكعب ومتوازي المستطيلات والكرة) من البيئة ولكنه قد يخطئ في التسمية ويستعرض كرة بدل دائرة أو مكعب بدل مربع. | يخلط بين الكرة والدائرة وبين المكعب والمربع ويحتاج الى توجيه دائم لاستعراض أمثلة من البيئة على المجسمات. | يخلط بين الكرة والدائرة وبين المكعب والمربع ويحتاج الى توجيه دائم لاستعراض أمثلة من البيئة على المجسمات. | الوعي البيئي وحب الاستكشاف، التأمل في النظام والجمال،الانتماء للبيئة والمجتمع، تقدير النظام والترتيب والدقة
الهندسة والقياس | ممارسة النمذجة الرياضية |  | يبني نماذج هندسية بسيطة | يبني نماذج هندسية من أشكال مرسومة أو محسوسات. | يبني نماذج هندسية من أشكال مرسومة كأن يشكل مثلثين من مربع أو يشكل متوازي مستطيلات من قطع التركيب المكعبة أو مكعبا من قطع متوازية الأضلاع، مفسراً ما صممه بشكل دقيق مراعيا التسمية الصحيحة. | يبني نماذج هندسية مستوية من أشكال مرسومة كأن يشكل مثلثين من مربع ويطور قدراته مع التوجيه لتشكيل مجسمات متوازي مستطيلات من قطع التركيب المكعبة أو مكعبا من قطع متوازية الأضلاع، | يواجه صعوبة في بناء نموذج جديد من نماذج معطاة ويحتاج الى مساعدة في تصميمه. | يواجه صعوبة في بناء نموذج جديد من نماذج معطاة ويحتاج الى مساعدة في تصميمه. | 
الهندسة والقياس | ممارسة النمذجة الرياضية | اختيار أدوات القياس المناسبة للطول | يختار أداة القياس | يختار أداة القياس مناسبة (الذراع، الشبر ، القدم) | يختار أداة القياس المناسبة لطول الشيء، فيستخدم الذراع للأشياء الطويلة كحافة السجادة، و(الشبر أو القدم) للأشياء المتوسطة كحافة الطاولة، مبررا سبب اختياره لهذه الأداة. | يختار أداة القياس المناسبة لطول الشيء، ويجد صعوبة في التعبير عن سبب اختياره للأداة. | يختار أداة قياس غير مناسبة لطول الشيء ويوظف أدوات عشوائي. | يختار أداة قياس غير مناسبة لطول الشيء ويوظف أدوات عشوائي. | العناية والإتقان في القياس والتقدير وتوظيفه في شؤون الحياة
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | تطبيق مهارات القياس | يقارنالقياسات بصرياً وحسيا | يقارن الأطوال بصرياً ( أطول، أقصر، مساوِ). | يقارن الأطوال بصرياً مستخدماً كلمات (أطول، أقصر، مساوٍ) لترتيبها تصاعدياً وتنازلياً مفسرا عمله بشكل مستقل. | يقارن الأطوال بصرياً مستخدماً كلمات (أطول، أقصر، مساوٍ) و ويرتبها تصاعدياً وتنازلياً ويحتاج لتوجيه لتفسير اجاباته بالشكل الصحيح | يقارن الأطوال المتفاوتة الطول بصرياً ولكنه قد يحتاج الى مساعدة في التعبير عن الترتيب المناسب لها خاصة ذات الأطوال المتقاربة. | يقارن الأطوال المتفاوتة الطول بصرياً ولكنه قد يحتاج الى مساعدة في التعبير عن الترتيب المناسب لها خاصة ذات الأطوال المتقاربة. | المثابرة والتعاون، النظام والانضباط، تحمل المسؤولية والأمانة في القياس، الاعتماد على الذات
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | تطبيق مهارات القياس | يقيس الأطوال | يستخدم أدوات القياس لقياس أطوال أجسام معينة من البيئة. | يقيس الأطوال مستخدماً الأدوات (الشبر أو القدم أو الذراع أو) أو أدوات صغيرة مناسبة كالمشابك من خلال وضعها بتتالٍ صحيح وبداية ونهاية منضبطة دون ترك فراغات أو إحداث تداخل بينها. | يقيس الأطوال مطبقاً خطوات القياس، لكنه قد يترك فراغات بسيطة (مثل المسافة بين القدم والذي يليه أثناء المشي لقياس طول السجادة) مما يؤثر على دقة الناتج. | يقيس الأطوال مستخدماً أداة القياس (كالدبوس أو الشبر) بشكل عشوائي ومتباعد، أو يقوم برصها فوق بعضها البعض دون فهم لآلية القياس. | يقيس الأطوال مستخدماً أداة القياس (كالدبوس أو الشبر) بشكل عشوائي ومتباعد، أو يقوم برصها فوق بعضها البعض دون فهم لآلية القياس. | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | تفسير نتائج القياس | يقدر القياسات | يقدر قياسات أطوال الأشياء. | يقدر قياس الأشياء بشكل مناسب كأن يقدر طول سجادة بالقدم والشبر والذراع. | يعطي تقديرات مقبولة لأطوال الأشياء، لكنه يبتعد عن الصواب عند تقدير الأطوال الكبيرة نسبيا مثل بُعد الملعب بالقدم. | يضع أعدادا عشوائية للتقدير لا تتناسب مع البُعد الحقيقي للشيء المراد قياسه. | يضع أعدادا عشوائية للتقدير لا تتناسب مع البُعد الحقيقي للشيء المراد قياسه. | الدقة والإتقان في استخدام أدوات القياس وربطه بمواقف الحياة اليومية،
