كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الثاني الأساسي 2026-2027(تم تعديل جميع الاعمدة بحيث يكون اول عمودين مصادر والبقية أفعال)
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | نتاجات التعلم | مستوى الانجاز | مستوى الانجاز | مستوى الانجاز | القيم
الضرب | ممارسة البحث عن البنية الرياضية | ممارسة البحث عن البنية الرياضية | تحليل الأنماط المرتبطة بالضرب | يفسر العلاقات العددية المتكررة | يفسر العلاقات العددية المتكررة | يفسر العلاقات العددية في جداول الضرب. | يفسر بوضوح كيف أن الضرب هو تكرار جمع العدد نفسه، ويفسر العلاقات مثل (الضرب في 4 هو مضاعفة الضرب في 2). | يفسر أن الضرب يمثل تكراراً، ولكنه يتعثر في صياغة أو تفسير العلاقات بين الجداول المختلفة. | يحاول تفسير معنى التكرار في الضرب، ويتعامل مع العمليات كحفظ آلي فقط. | 
الضرب | ممارسة البحث عن البنية الرياضية | ممارسة البحث عن البنية الرياضية | تحليل الأنماط المرتبطة بالضرب | يحل الأنماط المرتبطة بالضرب | يحل الأنماط المرتبطة بالضرب | يحل النمط بالضرب | يحل النمط بعد اكتشاف قاعدة النمط المبنية على الضرب ويكمل السلسلة بدقة وبسرعة وبمفرده (مثل: 3،6،9،12) | يحل النمط إذا كان يعتمد على مضاعفات بسيطة وتصاعدية ثابتة، ولكنه يحتاج لتوجيه عند قفزات الضرب الكبيرة. | يحل النمط العددي بالعد الترتيبي العادي (+1) أو يكتب أرقاماً عشوائية دون إدراك أن النمط يتضاعف بالضرب. | 
الضرب | ممارسة البحث عن البنية الرياضية | ممارسة البحث عن البنية الرياضية | تحليل الأنماط المرتبطة بالضرب | يحل الأنماط المرتبطة بالضرب | يحل الأنماط المرتبطة بالضرب | يحدد العدد المفقود في منتصف النمط | يحدد العدد الناقص في وسط النمط بدقة من خلال فحص العلاقة بين العدد السابق واللاحق (مثل 2،4 __،8،10) | يحدد العدد المفقود في منتصف النمط بعد المحاولة والخطأ أو بالاستعانة بجداول الضرب المكتوبة أمامه. | يحدد العدد المفقود في منتصف النمط بجمع العددين السابق واللاحق أو يضع عدداً لا يحقق قاعدة الضرب. | 
الضرب | ممارسة البحث عن البنية الرياضية | ممارسة البحث عن البنية الرياضية | تحليل الأنماط المرتبطة بالضرب | يحل الأنماط المرتبطة بالضرب | يحل الأنماط المرتبطة بالضرب | يبرمج نمط جديد (تطبيق المهارة) | يبرمج نمطاً عددياً جديداً يعتمد على الضرب من إنشائه، ويشرح قاعدته بوضوح (مثل: نمط الضرب في ٢). | يبرمج نمطاً جديداً بالضرب إذا تم إعطاؤه نقطة البداية وقاعدة النمط جاهزة (مثال: ابدأ من العدد ٣ واضرب في ٢). | يبرمج نمطعشوائي ، ويخلط بين الأنماط العددية العشوائية وأنماط الضرب. | 
الضرب | ممارسة البحث عن البنية الرياضية | ممارسة البحث عن البنية الرياضية | توظيف خصائص العمليات في الحل | يستخدم خاصية التبديل | يستخدم خاصية التبديل | يستخدم خاصية التبديل. | يستخدم خاصية التبديل ويدرك أن ترتيب الأعداد لا يغير ناتج الضرب (مثل 3×5=5×3) ويطبقها بثقة لتسهيل الحل. | يعرف خاصية التبديل عند تذكيره بها، لكنه يتردد في استخدامها تلقائياً عند حل المسائل. | يعتقد أن تغيير ترتيب الأعداد يغير الناتج، ويعيد عملية الحساب من جديد لكل مسألة. | الدقة، التفكير الناقد، حب الاستكشاف،الصبر والمثابرة،تحمل المسؤولية
الضرب | ممارسة البحث عن البنية الرياضية | ممارسة البحث عن البنية الرياضية | توظيف خصائص العمليات في الحل | يستخدم خاصية العنصر المحايد(الضرب ب 1 و ب 0) | يستخدم خاصية العنصر المحايد(الضرب ب 1 و ب 0) | استخدام خاصيةالضرب ب 1 و ب 0) | يستخدم مباشرة وبلا تردد حقيقة أن الضرب في (1) يبقي العدد كما هو، والضرب في (0) يعطي ناتجاً صفرياً دائماً. | يستخدم ويجيب بشكل صحيح عن ضرب الأعداد الصغيرة في (1) أو (0)، لكنه يتردد أو يخطئ عندما تكون الأعداد كبيرة. | يخلط بين مفهومي الضرب والجمع (مثال: 6×0=6، 7×1= 8) | 
الضرب | ممارسة التعميم من التكرار | ممارسة التعميم من التكرار | استنتاج القواعد العددية من الأنماط | يستنتج حقائق الضرب حتى 5×5. | يستنتج حقائق الضرب حتى 5×5. | يستنتج حقائق الضرب حتى 5×5. | يستنتج حقائق الضرب حتى 5×5 بسرعة ودقة مستنداً إلى الفهم (كالجمع المتكرر أو العدّ القفزي) وبمفردهوبسرعة. | يستنتج حقائق الضرب بشكل صحيح ولكنه يستغرق وقتاً باحتسابها عبر العد القفزي أو الرسم أو بأصابعه. | يكتب حقائق عشوائية، أو يخلط بين عملية الضرب وعملية الجمع أو يحتاج محسوسات ورسوم لاستنتاج حقائق الضرب | الدقة، التفكير الناقد، حب الاستكشاف،المثابرة،تقدير النظام،الامانة العلمية
الضرب | ممارسة التعميم من التكرار | ممارسة التعميم من التكرار | استنتاج القواعد العددية من الأنماط | يستنتج حقائق ضرب العشرات | يستنتج حقائق ضرب العشرات | يستنتج حقائق ضرب العشرات. | يستنتج نواتج ضرب الأعداد في العشرات ذهنياً وبدقة مستخدماً أنماط الضرب . | يستنتج ويجد ناتج ضرب العشرات إذا كان المضروب فيه هو العدد 10 ويتردد أو يحتاج لمساعدة مع بقية العشرات (20, 30, 40). | يجد صعوبة في التعامل مع الصفر، ويقوم بجمع العدد مع العشرة بدلاً من ضربه فيها (مثل كتابة 3×10=13 ) | 
الضرب | ممارسة التعميم من التكرار | ممارسة التعميم من التكرار | استنتاج القواعد العددية من الأنماط | يعمم الأنماط العددية | يعمم الأنماط العددية | يعمم أنماط عددية. | يكتشف النمط المتكرر في الجدول ويعمم القاعدة العامة له (مثل: جميع نواتج الضرب في آحادها 0). | يكتشف النمط العددي المكتوب أمامه، ولكنه يواجه صعوبة في شرح القاعدة أو تعميمها على أعداد أخرى. | يكتب أعداداً متتالية دون ملاحظة وجود أي نمط أو علاقة تربط بينها. | 
الضرب | ممارسة التعميم من التكرار | ممارسة التعميم من التكرار | استنتاج القواعد العددية من الأنماط | يستخدم العلاقات العددية لتبسيط الحل | يستخدم العلاقات العددية لتبسيط الحل | يوظف العلاقات العددية | يربط بين العمليات بذكاء لتبسيط الحسابات الذهنية (مثل: استخدام الضرب بدلاً من الجمع المتكرر) | يتبع طرق التبسيط إذا طُلبت منه خطوة بخطوة، ولكنه يفضل تقليدياً الطرق الطويلة المعتادة. | يلجأ دائماً للعد البدائي (بالأصابع أو الخطوط) ولا يستفيد من أي علاقات عددية لتوفير الوقت والجهد. | 
الضرب | ممارسة فهم المسألة والمثابرة في حلها | ممارسة فهم المسألة والمثابرة في حلها | تفسير المواقف الحياتية المرتبطة بالضرب | يحولالمسألة إلى جملة عددية | يحولالمسألة إلى جملة عددية | يحولالمسألة اللفظية الى جملة عددية | يحوّل المسألة اللفظية مباشرة إلى جملة ضرب صحيحة العناصر | يكتب الأرقام الصحيحة في الجملة العددية، ولكنه يخلط أحياناً بين إشارتي الضربوالجمع | يكتب أرقاماً عشوائية من المسألة دون القدرة على صياغة جملة رياضية صحيحة أو مفهومة. | التعاون ، المسؤولية الاجتماعية، احترام الآخرين، الدقة والتنظيم، حب الاستكشاف
الضرب | ممارسة فهم المسألة والمثابرة في حلها | ممارسة فهم المسألة والمثابرة في حلها | تفسير المواقف الحياتية المرتبطة بالضرب | يحدد المعطيات المرتبطة بالضرب | يحدد المعطيات المرتبطة بالضرب | يحدد معطيات المسألة | يحدد بدقة الأعداد التي تمثل (عدد المجموعات) و(عدد العناصر في كل مجموعة) ويهمل المعلومات الزائدة. | يحدد الأرقام الموجودة في المسألة، ولكنه يحتاج لتوجيه لمعرفة أي منها يمثل المجموعات وأيها يمثل العناصر. | ينقل أي أعداد يراها في نص المسألة دون وعي بطبيعة العلاقة بينها أو ارتباطها بمفهوم الضرب. | 
الضرب | ممارسة فهم المسألة والمثابرة في حلها | ممارسة فهم المسألة والمثابرة في حلها | تفسير المواقف الحياتية المرتبطة بالضرب | يفسر الحل في ضوء السياق الواقعي | يفسر الحل في ضوء السياق الواقعي | يفسر خطوات الحل وتوضيحها | يفسر الناتج النهائي بالواقع بوضوح، فيكتب المميز الصحيح ويشرح ماذا يعني هذا الناتج للمسألة. | يفسر الرقم النهائي بشكل صحيح ، ولكنه يكتفي به كـ "ناتج مجرد" وينسى كتابة التمييز أو ربطه بسياق المسألة. | يكتب ناتجاً لا يتوافق مع منطق المسألة الواقعي (مثل: ناتج أصغر من المعطيات) دون أن يلاحظ عدم معقولية الحل. | 
القسمة | ممارسة التفكير الكمي والتجريدي | ممارسة التفكير الكمي والتجريدي | تفسير معنى العمليات العددية | يفسرالقسمة كتوزيع متساوٍ | يفسرالقسمة كتوزيع متساوٍ | يفسرالقسمة بأنها توزيع بالتساوي | يفسر القسمة بأنها توزيع بالتساوي ويوزع المحسوسات (كالمكعبات) واحداً تلو الآخر بالتساوي على مجموعات دون خطأ وبسرعة وبدقة . | يوزع بالتساوي، ولكنه يخطئ في العد أو يحتاج للتجربة والخطأ لتتساوى المجموعات. | يوزع عشوائياً وتنتج لديه مجموعات غير متساوية دون أن يدرك الخطأ. | الدقة، التنظيم والترتيب،تقدير المساواة في التوزيع بالتساوي، التفكير المنطقي،المثابرة،الأمانة، تحمل المسؤولية،
القسمة | ممارسة التفكير الكمي والتجريدي | ممارسة التفكير الكمي والتجريدي | تفسير معنى العمليات العددية | يفسرالقسمة كطرح متكرر | يفسرالقسمة كطرح متكرر | يفسر القسمة طرح متكرر | يحوّل جملة القسمة إلى عمليات طرح متكرر متتالية حتى يصل إلى الصفر بنجاح، ويربط عدد مرات الطرح بناتج القسمة. | يبدأ بعملية الطرح المتكرر بشكل صحيح، ولكنه قد يخطئ في الحساب الذهني أثناء الانتقال من خطوة لأخرى، أو يجد صعوبة في ربط عدد مرات الطرح بالناتج النهائي دون توجيه. | يخلط بين المفهومين، فيقوم بطرح المقسوم عليه من المقسوم لمرة واحدة فقط ويتوقف دون استيعاب فكرة التكرار حتى الوصول للصفر. | 
القسمة | ممارسة التفكير الكمي والتجريدي | ممارسة التفكير الكمي والتجريدي | الانتقالبين التمثيلات المختلفة | يمثلالقسمة بالنماذج | يمثلالقسمة بالنماذج | يمثلالقسمة | يشكل بالقطع البلاستيكية أو المحسوسات نموذجاً يمثل مسألة القسمة بدقةوبسرعة. | يشكل النموذج، ولكنه يحتاج لتوجيه المعلم لربط النموذج بعناصر جملة القسمة. | يلعب بالقطع المحسوسة بشكل عشوائي دون تشكيل أي نموذج يخدم المسألة. | المسؤولية الاجتماعية، حب الاستكشاف، التعاون، التواصل الايجابي واحترام الآراء
القسمة | ممارسة التفكير الكمي والتجريدي | ممارسة التفكير الكمي والتجريدي | الانتقالبين التمثيلات المختلفة | يستخدمالرسوم في تفسير القسمة | يستخدمالرسوم في تفسير القسمة | يرسمجملة القسمة | يرسم دوائر وخطوطاً واضحة تعبر عن عملية القسمة (توزيع/تجميع) للوصول للحل. | يرسم رسوماً صحيحة، ولكنها غير منظمة مما يجعله يخطئ أحياناً في عد الناتج. | يرسم رسوماً تعبيرية لا علاقة لها بأرقام المسألة الرياضية. | 
القسمة | ممارسة التفكير الكمي والتجريدي | ممارسة التفكير الكمي والتجريدي | الانتقالبين التمثيلات المختلفة | يربطبين التمثيل الرمزي والمحسوس | يربطبين التمثيل الرمزي والمحسوس | يربطبين التمثيل بالمحسوس والجملة الرمزية | يربط بكفاءة بين الأعداد المكتوبة (رموز) وبين ما قام بتوزيعه من أشياء حقيقية (محسوس). | يكتب جملة القسمة الرمزية بشكل صحيح، ولكن عند تطبيقها عملياً بالمحسوسات يتعثر. | يكتب أرقاماً لا تطابق بتاتاً عدد المحسوسات التي أمامه على الطاولة. | 
القسمة | ممارسةالبحث عن البنية الرياضية | ممارسةالبحث عن البنية الرياضية | الربط بين الضرب والقسمة | يكتبجمل ضرب وقسمة | يكتبجمل ضرب وقسمة | يكتبجمل ضرب وقسمة من عائلة أعداد | يكتب "عائلة الحقائق" المترابطة كاملة للعمليتين بنجاح (مثال: جملتي ضرب وجملتي قسمة لنفس الأرقام). | يكتب جملة ضرب وجملة قسمة مرتبطة بها، ولكنه لا يستنتج بقية الجمل للمجموعة. | لا يستطيع تكوين أي جملة مترابطة، ويكتب عمليات عشوائية. | حب الاستكشاف، التنظيم والدقة، التفكير الناقد،الأمانة العلمية
القسمة | ممارسةالبحث عن البنية الرياضية | ممارسةالبحث عن البنية الرياضية | الربط بين الضرب والقسمة | يستنتجالعلاقة بين القسمة والضرب | يستنتجالعلاقة بين القسمة والضرب | يدرك ذهنياً أن القسمة هي عكس الضرب (مثل: يعرف أن 2×3=6 و 6÷3=2) | يربط بين العمليتين عند رؤية جملة الضرب مكتوبة أمامه، ولكنه لا يستنتجها بشكل مستقل. / يدرك ذهنيا أن القسمة هي العملية العكسية للضرب، ويوظف العلاقة بينهما بدقة في إيجاد نواتج الضرب والقسمة | يرى الضرب والقسمة كعمليتين منفصلتين تماماً ولا يدرك أي علاقة بينهما. / يدرك في معظم الأحيان أن القسمة هي عكس الضرب، ويستخدم العلاقة بينهما لحل مسائل بسيطة، مع حاجته إلى مزيد من الممارسة لتعزيز الدقة والثقة. | الربط بين الضرب والقسمة /  /  / يحاول إدراك العلاقة بين الضرب والقسمة بوصفهما عمليتين عكسيتين، إلا أنه يحتاج إلى دعم كامل للربط بين جمل الضرب والقسمة المقابلة لها. | 
القسمة | ممارسةالبحث عن البنية الرياضية | ممارسةالبحث عن البنية الرياضية | توظيفالعلاقات العددية في تفسير القسمة / يحل الأنماط المرتبطة بالقسمة | يستخدمحقائق الضرب في القسمة | يستخدمحقائق الضرب في القسمة | يوظفحقائق الضرب لإيجاد ناتج القسمة | يستدعي حقيقة الضرب المناسبة سريعاً لحل مسألة القسمة (10÷2=5 لأن 5×2=10) | يستغرق وقتاً ويتنقل بين حقائق الضرب (يجرب عدة حقائق) حتى يصل للحقيقة المناسبة للقسمة. | لا يستطيع استخدام جدول الضرب لحل القسمة، ويعتمد فقط على العد . | التفكير الناقد، حب الاستكشاف، الدقة والتنظيم
القسمة | ممارسةالبحث عن البنية الرياضية | ممارسةالبحث عن البنية الرياضية | توظيفالعلاقات العددية في تفسير القسمة / يحل الأنماط المرتبطة بالقسمة | يكملالنمط بالقسمة | يكملالنمط بالقسمة | يكملقاعدة النمط المبنية على القسمة ويكمل السلسلة بدقة وبسرعة وبمفرده (مثل: 3،6،9،12) | يكمل النمط إذا كان يعتمد على مضاعفات بسيطة وتنازلية ثابتة، ولكنه يحتاج لتوجيه عند قفزات القسمة الكبيرة. / يكمل قاعدة النمط المبنية على القسمة بدقة، ويحدد العلاقة بين الحدود ويواصل النمط بشكل صحيح. | يكمل الأعداد بالعد الترتيبي العادي (-1) أو يكتب أرقاماً عشوائية دون إدراك أن النمط يتناقص بالقسمة. /  / يكمل النمط إذا كان يعتمد على مضاعفات بسيطة وتنازلية ثابتة، ولكنه يحتاج لتوجيه عند قفزات القسمة الكبيرة. | يحلل الأنماط المرتبطة بالقسمة /  /  /  /  / يكمل الأعداد بالعد الترتيبي العادي (-1) أو يكتب أرقاماً عشوائية دون إدراك أن النمط يتناقص بالقسمة. | 
القسمة | ممارسةالبحث عن البنية الرياضية | ممارسةالبحث عن البنية الرياضية | توظيفالعلاقات العددية في تفسير القسمة / يحل الأنماط المرتبطة بالقسمة | يكملالنمط بالقسمة | يكملالنمط بالقسمة | يحددالعدد المفقود في منتصف النمط | يحدد العدد الناقص في وسط النمط بدقة من خلال فحص العلاقة بين العدد السابق واللاحق (مثل: 20،16،--،8،4،1) | يجد العدد المفقود في منتصف النمط بعد المحاولة والخطأ أو بالاستعانة بالطرح المتكرر. | يملأ الفراغ في منتصف النمط بطرح العددين السابق واللاحق أو يضع عدداً لا يحقق قاعدة القسمة. | 
القسمة | ممارسةالبحث عن البنية الرياضية | ممارسةالبحث عن البنية الرياضية | توظيفالعلاقات العددية في تفسير القسمة / يحل الأنماط المرتبطة بالقسمة | يكملالنمط بالقسمة | يكملالنمط بالقسمة | يبتكرنمط جديد (تطبيق المهارة) | يبتكر نمطاً عددياً جديداً يعتمد على القسمة من إنشائه، ويشرح قاعدته بوضوح (مثل: نمط القسمة على3) | يكون نمطاً جديداً بالقسمةإذا تم إعطاؤه نقطة البداية وقاعدة النمط جاهزة (مثال: ابدأ من العدد 25 واقسم على 5) | لا يستطيع عن تكوين نمط ضربي خاص به، ويخلط بين الأنماط العددية العشوائية وأنماط القسمة. | 
القسمة | ممارسةالبحث عن البنية الرياضية | ممارسةالبحث عن البنية الرياضية | توظيفالعلاقات العددية في تفسير القسمة / يحل الأنماط المرتبطة بالقسمة | يستكملأنماط القسمة | يستكملأنماط القسمة | يكملالنمط بالقسمة | يكتشف القاعدة ويكمل النمط في جمل القسمة المتتالية | يكمل الفراغ في النمط إذا كان التغير في ناتج القسمة فقط، ويصعب عليه إذا كان التغير في المقسوم. | يضع أرقاماً عشوائية في الفراغات دون ملاحظة وجود نمط متسلسل. | 
القسمة | ممارسةالبحث عن البنية الرياضية | ممارسةالبحث عن البنية الرياضية | توظيفالعلاقات العددية في تفسير القسمة / يحل الأنماط المرتبطة بالقسمة | يطبقالأنماط العددية في الحل | يطبقالأنماط العددية في الحل | يستفيدمن الأنماط العددية | يستغل معرفته بالأنماط (مثل نمط الآحاد في جدول 5) ليجد ناتج القسمة ذهنياً وسريعاً. | يعرف أنه يوجد أنماط عددية الا انه يفضل استخدام الطرق التقليدية للتأكد من حله دائماً. | لا يستفيد من الأنماط العددية، ويعامل كل مسألة كأنها تجربة جديدة تماماً. | 
القسمة | ممارسة فهم المسألة والمثابرة في حلها | ممارسة فهم المسألة والمثابرة في حلها | تحليل المواقف المرتبطة بالقسمة | يحددالعملية المناسبة | يحددالعملية المناسبة | يحددالعملية المناسبةلحل المسألة الكلامية | يميز الكلمات المفتاحية في المسألة اللفظية (مثل: وزّع، بالتساوي، نصيب كل) ويختار القسمة فوراً. | تردد في اختيار العملية، ويحتاج لسؤال توجيهي من المعلم (هل العدد زاد أم نقص؟) ليختار. | يختار العملية بناءً على آخر عملية درسها في الصف (يختار القسمة دائماً لأن الدرس عن القسمة). | تفكير ناقد، الدقة، حب الاستكشاف، تحمل المسؤولية
القسمة | ممارسة فهم المسألة والمثابرة في حلها | ممارسة فهم المسألة والمثابرة في حلها | تحليل المواقف المرتبطة بالقسمة | يمثلالمسألة برسم أو جداول | يمثلالمسألة برسم أو جداول | يمثلالمسألة بالرسم | يترجم المسألة اللفظية بشكل مستقل إلى رسم مبسط أو جدول صغير يوضح عناصرها. | يرسم لتمثيل المسألة فقط إذا طلب منه المعلم ذلك بشكل مباشر كخطوة إجبارية. | يرفض الرسم أو يكتفي بنقل الأرقام دون أي محاولة للتوضيح البصري. | 
القسمة | ممارسة فهم المسألة والمثابرة في حلها | ممارسة فهم المسألة والمثابرة في حلها | تحليل المواقف المرتبطة بالقسمة | يتحقق من معقولية الناتج | يتحقق من معقولية الناتج | يتحقق من معقولية الناتج | يلاحظ مباشرة إذا كان الناتج غير منطقي (مثال: إذا كان ناتج القسمة أكبر من العدد الكلي الأصلي). | يحتاج لفت انتباهه من المعلم ليعيد التفكير في منطقية رقم الناتج الذي كتبه. | يكتب أي رقم ينتج معه ويقتنع به تماماً، حتى لو كان يخالف بديهيات الواقع الرياضي. | 
الكسور | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | تفسيرمعنى الكسر والعلاقات الكسرية | يحدد الأجزاء من الكل | يحدد الأجزاء من الكل | يحددالأجزاء من الكل | يتأكد أولاً من أن الأشكال مقسمة بالتساوي تماماً قبل عدّها وتسميتها ككسر. | يعدّ الأجزاء الكلية للشكل، ولكنه يغفل أحياناً عن شرط أن تكون هذه الأجزاء متساوية . | يعدّ أي خطوط داخل الشكل كأجزاء غير متساوية. | الدقة، حب الاستكشاف، التفكير الناقد،تحمل المسؤولية
الكسور | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | تفسيرمعنى الكسر والعلاقات الكسرية | يحددالبسط والمقام | يحددالبسط والمقام | يحددالبسط والمقام | يسمّي ويكتب البسط (الأجزاء المحددة) والمقام (كل الأجزاء) في مكانهما الصحيح بفصل خط الكسر. | يعرف مدلول الرقمين، ولكنه يخطئ أحياناً فيبدل مكانيهما (يضع الكل في الأعلى والجزء في الأسفل). | يكتب أرقاماً عشوائية فوق وتحت خط الكسر دون فهم لمدلول البسط أو المقام. | 
الكسور | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | تفسيرمعنى الكسر والعلاقات الكسرية | يفسرالكسر بوصفه جزءاً من كل (يفسر الواحد صحيح بوصفه مكونا من أجزاء كسرية متساوية) | يفسرالكسر بوصفه جزءاً من كل (يفسر الواحد صحيح بوصفه مكونا من أجزاء كسرية متساوية) | يفسرالكسر بوصفه جزءاً من كل أو عنصر من مجموعة | يشرح بوضوح المقصد من الكسر (مثال الكسر ربع: تعني أخذت قطعة واحدة من أصل 4 قطع متساوية. أو عنصر من مجموعة رباعية. | يقرأ الكسر بشكل صحيح، ولكن يصعب عليه التعبير عن معناه أو شرحه بلغته الخاصة دون مساعدة. | يقرأ الكسر كأرقام منفصلة فوق بعضها ولا يربطها بقطع أو أجزاء من شيء كامل. | 
الكسور | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | تفسيرمعنى الكسر والعلاقات الكسرية | يقرأ ويكتب الكسور | يقرأ ويكتب الكسور | يقرأ ويكتب الكسور (نصف،ربع،ثلث، خمس، ثمن) | يقرأ ويكتب الكسور (النصف، الثلث، الربع، الخمس، الثمن) بدقة، ويميز بينها بصورة صحيحة. | يقرأ ويكتب الكسور (النصف، الثلث، الربع، الخمس، الثمن) بدرجة جيدة، مع وجود بعض الأخطاء أو التردد في التمييز بينها أحيانا. | يحاول قراءة وكتابة الكسور (النصف، الثلث، الربع، الخمس، الثمن)، لكنه يحتاج إلى دعم وممارسة إضافية للتعرف إليها وكتابتها بصورة صحيحة. | 
الكسور | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | تفسيرمعنى الكسر والعلاقات الكسرية | يقارن الكسور ويرتبها. / بالمحسوس وشبه المحسوس | يقارن الكسور ويرتبها. / بالمحسوس وشبه المحسوس | يقارنالكسور ( نصف، ربع، ثلث، ثمن ، خمس) | يقارن بين الكسور ويرتبها بدقة ويفسر العلاقة بين البسط والمقام ، ويعبر عنها بنماذج ورسوم بطلاقة. | يقارن بين كسرين لهما نفس المقام أو البسط باستخدام النماذج البصرية، ويطور قدراته في ترتيب الكسور | يحاول مقارنة الكسور وترتيبها بالاستعانة بالمحسوسات وأشباه المحسوسات، لكنه ما زال بحاجة إلى مزيد من الممارسة لفهم العلاقات بين الكسور وتمثيلها بدقة. / يحاول مقارنة كسرين بسيطين (مثل نصف وربع) بصرياً بالاستعانة بالرسوم التوضيحية. | 
الكسور | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | ينتقل بين تمثيلات الكسور المختلفة | يمثلالكسور / (نصف، ربع، ثلث، ثمن، خمس) / هندسياً | يمثلالكسور / (نصف، ربع، ثلث، ثمن، خمس) / هندسياً | يمثلالكسور هندسياً | يظلل الأجزاء المطلوبة أو يحصر العناصر المطلوبة عند رؤية كسر مكتوب، أو يكتب الكسر الصحيح الممثل في الرسم. | يظلل الأجزاء المطلوبة أو يحصر العناصر المطلوبة ، ولكنه يستغرق وقتاً في إعادة عدّ الأجزاء أو العناصر للتأكد من مطابقتها للكسر. | يظلل ما يدل على الكسر بشكل عشوائي لا علاقة لها بالكسر المكتوب أمامه. | الدقة، التنظيم، التفكير الناقد،احترام مبدأ التساوي، التعاون، حب الاستكشاف،الثقة بالنفسن التنظيم الذاتي أثناء العمل، احترام آراء الآخرين والتواصل الايجابي
الكسور | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | ينتقل بين تمثيلات الكسور المختلفة | يمثلالكسور ( نصف، ربع، ثلث، ثمن ، خمس) بالنماذج | يمثلالكسور ( نصف، ربع، ثلث، ثمن ، خمس) بالنماذج | يمثلالكسور بالنماذج | يمثل الكسور بتقسيم النماذج الملموسة (مثل الملتينة أو الأوراق) إلى أجزاء متساوية بدقة. | يحتاج لتوجيه ومساعدة لتمثيل الكسور بتقسيم النماذج الى أجزاء متساوية تماماً . | يمثل الكسر بتقسيم النماذج بشكل عشوائي دون أي محاولة لجعل الأجزاء متساوية. | 
الكسور | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | ينتقل بين تمثيلات الكسور المختلفة | يربطبين التمثيل الرمزي والبصري | يربطبين التمثيل الرمزي والبصري | يربطبين الرمز والشكل | يربط مباشرة وبلا تردد بين الرمز المكتوب (مثل: رمز الكسر ثلث واسمه اللفظي (ثلث) والشكل الهندسي الممثل له. | يربط بين الشكل والرمز، ولكنه يتردد في تسمية الكسور اللفظية الأقل تكراراً كـ (الخمس والثمن). | يحاول الربط؛ لكنه لا يرى أي علاقة بين الرسم البصري والرمز الرياضي المكتوب. | 
الكسور | ممارسةالبحث عن البنية الرياضية | ممارسةالبحث عن البنية الرياضية | اكتشافالعلاقات بين الكسور | يفسرالعلاقة بين البسط والمقام | يفسرالعلاقة بين البسط والمقام | يفسرالعلاقة بين البسط والمقام | يشرح بدقة تأثير تغير البسط أو المقام على قيمة الكسر (مثل: إذا تساوى البسط والمقام فإن الكسر يساوي واحداً صحيحاً). | يفهم العلاقة بشكل مبسط، ولكنه يحتاج لمساعدة ليعبر عن كيفية تأثير المقام في تصغير حجم القطعة. | يتعامل مع كل رقم بشكل مستقل تماماً. | الدقة، التنظيم، حب الاستكشاف،الصبر والمثابرة، تقبل وجهات النظر، الثقة في بناء العلاقات
الكسور | ممارسةفهم المسألة والمثابرة في حلها | ممارسةفهم المسألة والمثابرة في حلها | تحليلالمواقف المرتبطة بالكسور | يحددالكسر المناسب | يحددالكسر المناسب | يحددالكسر المناسب | يختار الكسر الصحيح الذي يمثل وصفاً لموقف حياتي أو مسألة لفظية بدقة واختيار ذكي. | يحدد الكسر بعد محاولتين أو بعد استبعاد الإجابات الخاطئة الواضحة. | يختار أي كسر يحتوي على أرقام ذكرت في المسألة دون النظر إلى منطق الكسر. | الدقة، المسؤولية، حب الاستكشاف، التفطير المنطقي،تقبل رأي الآخرين، التواصل الايجابي
الكسور | ممارسةفهم المسألة والمثابرة في حلها | ممارسةفهم المسألة والمثابرة في حلها | تحليلالمواقف المرتبطة بالكسور | يمثلالمسألة برسم | يمثلالمسألة برسم | يمثلالمسألة بالرسم | يرسم أشكالاً هندسية منتظمة (دوائر أو مستطيلات) مقسمة بالتساوي لتمثيل المسألة اللفظية وتوضيحها. | يرسم لتمثيل المسألة، ولكن رسمه يفتقر إلى دقة تقسيم الأجزاء مما قد يربكه عند الحل. | يرفض الرسم أو يرسم خطوطاً متشابكة لا تعبر عن الكسور المطلوبة في المسألة. | 
