كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الثاني الأساسي 2026-2027(تم تعديل جميع الاعمدة بحيث يكون اول عمودين مصادر والبقية أفعال)
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | نتاجات التعلم | مستوى الانجاز | مستوى الانجاز | مستوى الانجاز | القيم
 |  | تمثيل العمليات العددية | تمثيل العمليات العددية | يمثلالجمع ضمن 99 بالمحسوسات | يمثل عملية الجمع ضمن 99 على المعداد وباستخدام العيدان | يمثل عملية الجمع ضمن 99 على المعداد وباستخدام العيدان | يُمثّل عملية الجمع لأي عددين حتى العدد99 باستخدام المواد المحسوسة (كالأجسام الحسابية، والأصابع، أو العيدان والحزم، المعداد) ويجد ناتج الجمع بدقة وبمفرده. | يُمثّل الجمع بالمحسوسات بشكل صحيح للأعداد ضمن العدد 99 بالعناصر المحسوسة الاعتيادية ولكنه يتردد أو يقع في بعض الأخطاء أثناء التمثيل. | يحاول تمثيل الجمع بالمحسوسات للأعداد ضمن 99 باستخدام العناصر المحسوسة الاعتيادية، لكنه يحتاج إلى دعم وتوجيه مستمر لضبط عملية التمثيل وتقليل الأخطاء | النظام والتنظيم، الانضباط
 |  | تمثيل العمليات العددية | تمثيل العمليات العددية | يمثلعملية الجمع على خط الأعداد | - يجد ناتج الجمع من خلال خط الاعداد | - يجد ناتج الجمع من خلال خط الاعداد | يُمثّل عملية الجمع على خط الأعداد بشكل صحيح، بالبدء من العدد الأكبر والقفز تصاعدياً جهة اليمين بدقة ويربط ناتج الجمع بالعدد الذي يصل اليه. | يستخدم خط الأعداد في تمثيل الجمع، ولكنه يخطئ أحياناً في اتجاه القفز (يقفز لليسار) بعد تمثيل العدد الأول أو يخطئ في عد القفزات ويحتاج لتوجيه بسيط لتعديل حله. | يجد صعوبة في تمثيل الجمع على خط الأعداد، ولا يعرف من أين يبدأ أو كيف يتحرك عليه دون مساعدة. | النظام والتنظيم،الوعي و الانضباط والمسؤولية،الانتماء الاجتماعي، التقدير الايجابي للحياة
 |  | تمثيل العمليات العددية | تمثيل العمليات العددية | يكونجمل جمع من أعداد معطاة | -يكون جملة الجمع من اعداد معطاة. | -يكون جملة الجمع من اعداد معطاة. | يكون جمل الجمع العددية من أعداد معطاة بشكل صحيح، مرتب، واضعاً الأعداد والإشارات (+، =) في مكانها الصحيح بشكل عمودي أو أفقي ويحول بين الصورتين الأفقية والعمودية بشكل صحيح. | يكون جمل الجمع العددية من أعداد معطاة بشكل صحيح، ولكنه يخطئ أحياناً في اتجاه الإشارات أو يقلب ترتيب أرقام العدد في الجملة الحسابية عند الانتقال من الجمع الأفقي إلى العمودي، أو خلل في الترتيب اذا كان عدد المنازل مختلف للعددين. | يواجه صعوبة في تكوين جملة الجمع، ويحتاج إلى نموذج توضيحي محلول للمساعدة في الحل. | 
 |  | تمثيل العمليات العددية | تمثيل العمليات العددية | يستخدمالجمع في تفسير العلاقات العددية | -يفسر علاقة الجمع بالزبادة والنمط المتزايد | -يفسر علاقة الجمع بالزبادة والنمط المتزايد | يستخدم عملية الجمع بمهارة لتفسير واكتشاف العلاقات بين الأعداد، مثل إدراك أن زيادة عدد ما تؤدي لزيادة الناتج ( ربط الجمع بالأنماط المتزايدة) | يستطيع ملاحظة العلاقة العددية، ولكنه يحتاج لمساعدة أو أسئلة توجيهية لصياغتها على صورة حقيقة جمع وتفسيرها رياضياً. | يجد صعوبة في اكتشاف أو تفسير العلاقة العددية من خلال الجمع، ويحتاج لشرح واستخدامنموذج محلول على ذلك. | 
 |  |  |  |  | -يربط الجمع مع المقارنة | -يربط الجمع مع المقارنة | يربط الجمع بالمقارنة، ملاحظة أن ناتج الجمع أكبر من العددين المجموعين ضمن الأعداد الطبيعية. | يستطيع ربط الجمع مع المقارنة ولكنه يحتاج إلى مساعدةفي الاستفادة من نواتج الجمع في تحديد الأكبر والأصغر بشكل متنام. | يجد صعوبة في ربط الجمع مع المقارنة ويحتاج إلى نموذج محلول حول ذلك. | 
 | ممارسةفهم المسألة والمثابرة في حلها | تحليل بنية المسألة | تحليل بنية المسألة | يحدد المعطياتالعددية | - يحدد المعطيات من المسألة الكلامية | - يحدد المعطيات من المسألة الكلامية | يستخرج الطالب المعلومات والأعداد الهامة ضمن 99 وضمن 999 (المعطيات) من المسألة اللفظية بعد قراءتها بطلاقة ويحدد المعلومات الزائدة أو الناقصة ان وجدت "حسب المطلوب في البند التالي" ذاتيا وبشكل صحيح | يحتاج لقراءة المسألة عدة مرات لاستخراج المعطيات وقد يوظف المعلومات الزائدة في الحل. | لا يستطيع تمييز المعطيات من النص، أو لا يستطيع قراءة المسألة اللفظية وفهم المقروء. | الترابط- النزاهة والأمانة، التعاون والعمل بروح الفريق، احترام آراء الآخرين، حب الاستكشاف والمسؤولية
 | ممارسةفهم المسألة والمثابرة في حلها | تحليل بنية المسألة | تحليل بنية المسألة | يحددالمطلوب | - يحدد المطلوب من المسألة الكلامية | - يحدد المطلوب من المسألة الكلامية | يحدد الطالب بدقة السؤال الأساسي أو المجهول المراد ايجاده في المسألة اللفظية بعد قراءتها بطلاقة وفهم المقروء بشكل مستقل. | يقرأ المسألة ويحتاج لمساعدة لفهم المقروء في المسألة وصياغته أو تحديده بدقة. | لا يتمكن من تحديد المطلوب أو لا يستطيع قراءة المسألة اللفظية وفهم المقروء، ويشتته النص اللفظي دون تقديم أي محاولات مستقلة. | 
 | ممارسةفهم المسألة والمثابرة في حلها | تحليل بنية المسألة | تحليل بنية المسألة | يحددالعملية المناسبة | - يحدد العملية المناسبة للمسألة الكلامية | - يحدد العملية المناسبة للمسألة الكلامية | يختار العملية الحسابية الصحيحة (جمع أو طرح) التي تتطلبها المسألة بناءً على فهمه للموقف وتحديده للمعطيات والمطلوب -سابقاً- بطلاقة. | يتردد في اختيار العملية المناسبة، خاصة اذا كانت المسألة مكونة من معطيات زائدة او مركبة من أكثر من عملية جمع. | يختار العمليات الحسابية عشوائياً ويختار من الأعداد في المسألة عشوائيا دون الربط المنطقي بمتطلبات المسألة. | 
 | ممارسةفهم المسألة والمثابرة في حلها | تحليل بنية المسألة | تحليل بنية المسألة | يستخدمالمحسوسات | -يستخدم المحسوسات لتمثيل المسالة الكلامية | -يستخدم المحسوسات لتمثيل المسالة الكلامية | يختار ويستخدم الأدوات والمواد المحسوسة الملائمة لتمثيل المسألة اللفظية والوصول للحل الصحيح بمفرده. ويربط بين طرق الحل المختلفة لتعميق الفهم الرياضي لحل المسألة اللفظية. | يستخدم المحسوسات التي تحاكي معطيات المسألة، ولكنه يحتاج لتوجيه في كيفية توظيفها لتمثيل المسألة، كما يغفل عن الربط بين طرق الحل المختلفة للمسألة اللفظية. | لا يتمكن من ربط الأدوات المحسوسة بالمسألة، أو يستخدمها بعشوائية دون أساس منطقي | 
 | ممارسةفهم المسألة والمثابرة في حلها | تحليل بنية المسألة | تحليل بنية المسألة | يستخدمالنماذج والرسومات التوضيحية | -يرسم رسومات بسيطة لتمثيل جملة الجمع وحلها | -يرسم رسومات بسيطة لتمثيل جملة الجمع وحلها | يرسم نماذج توضيحية أو مخططات بسيطة للمسألة لتمثيل المسألة وحلها بشكل دقيق. ويربط بين طرق الحل المختلفة لتعميق الفهم الرياضي لحل المسألة اللفظية. | يستعين بالرسم في المسائل البسيطة، ولكنه يجد صعوبة في تنظيم رسوماته أو تمثيل المعطيات الزائدة أو التيفي المسائل التي يزيد عدد معطياتها عن عددين دون تلميح. | لا يستطيع التعبير عن المسألة بالرسم أو النماذج بمفرده، ويحتاج لنقل نموذج جاهزاً تماماً. | 
 | ممارسةفهم المسألة والمثابرة في حلها | مراجعة الحل والتحقق منه | مراجعة الحل والتحقق منه | يتحققمن صحة الحل | -يتحقق من صحة الحل بطريقة معينة مثل استخدام خط الاعداد | -يتحقق من صحة الحل بطريقة معينة مثل استخدام خط الاعداد | يتحقق من صحة ناتجه النهائي مستخدماً طريقة بديلة (كالحل العكسي أو خط الأعداد) ذاتياً وبمفرده. | لا يعطي أولوية للتحقق من صحة حله ويكتفي بالنظر السريع لمعقولية الإجابة دون استخدام استراتيجية تحقق واضحة. ويمكنه ذلك عند المتابعة للمسائل اللفظية البسيطة (معطياتها عددان) | ينهي الحل -في حالة حله- ولا يبدي أي محاولة للتحقق من صحته، ويتقبل النواتج الخاطئة دون انتباه. | المسؤولية ، الالتزام والأمانة، النظام والانضباط
 | ممارسةفهم المسألة والمثابرة في حلها | مراجعة الحل والتحقق منه | مراجعة الحل والتحقق منه | يراجع خطوات الحل | -يراجع خطوات الحل بشكل متسلسل | -يراجع خطوات الحل بشكل متسلسل | يراجع الطالب جميع الخطوات الرياضية التي اتبعها بالتسلسل لضمان خلوها من الأخطاء وبشكل مستقل، ويستفيد من الحل في حل أسئلة أخرى ذات طابع قريب. | يراجع خطواته بشكل سطحي وسريع، ولا يعيد النظر في خطوات الحل ويحتاج لتوظيف مهارة الحل في حل أسئلة أخرى ذات طابع قريب. | لا يبدي اهتماما في مراجعة خطواته أو تتبعها لمعرفة أين أخطأ، وغير قادر على تصحيح مساره دون توجيه. | 
